bioproject,status,title,submitter,doi,citation,reviewed_by,reviewed_on,notes
PRJDB13385,unreviewed,Whole genome low coverage resequencing data from Golden eagles,National Institute for Environmental Studies,,,,,no Europe PMC full-text match
PRJDB18694,unreviewed,WGS of Kelsey Creek threespine stickleback population,National Institute of Genetics,,,,,no Europe PMC full-text match
PRJDB2132,unreviewed,Whole genome sequencing of tammar wallaby,"Center for Genetic Resource Information, Comparative Genomics Laboratory, National Institute of Genetics, Research Organization of Information and Systems",,,,,no Europe PMC full-text match
PRJDB3068,unreviewed,Dramatic improvement in genome assembly by using doubled-haploid individuals,"Labolatory of Aquatic Molecular Biology and Biotechnology, The University of Tokyo",,,,,no Europe PMC full-text match
PRJDB6607,unreviewed,Simultaneous and highly efficient construction of two independent sets of high-density linkage maps and draft sequences using an artificially generated hybrid organism,the University of Tokyo,,,,,no Europe PMC full-text match
PRJDB7253,unreviewed,The genome sequences of betta splendens,"Molecular Population Genetics Group, Temasek Lifesciences Laboratory",10.24272/j.issn.2095-8137.2021.266,Wang L et al. (2022) Whole-genome resequencing infers genomic basis of giant phenotype in Siamese fighting fish ( <i>Betta splendens</i>),,,3 candidates; top one shown
PRJDB7538,unreviewed,"Application of highly multiplexed amplicon sequencing in torafugu, Takifugu rubripes.","Fisheries Laboratory, Graduate School of Agricultural and Life Sciences, University of Tokyo",10.1038/s41598-019-43336-x,Sato M et al. (2019) A highly flexible and repeatable genotyping method for aquaculture studies based on target amplicon sequencing using next-generation sequencing technology,,,
PRJDB7806,unreviewed,Draft genome sequence of White-tailed eagle,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",,,,,no Europe PMC full-text match
PRJDB7811,unreviewed,Draft genome sequence of Peregrine Falcon,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",10.1038/s41598-025-88216-9,Al-Ajli FO et al. (2025) Chromosome-level reference genome assembly of the gyrfalcon (Falco rusticolus) and population genomics offer insights into the falcon population in Mongolia,,,
PRJDB9073,unreviewed,WGS of sympatric P. pungitius and P. sinensis,National Institute of Genetics,,,,,no Europe PMC full-text match
PRJEB10586,unreviewed,"We show the fine-scale recombination landscape is stable across tens of millions of years in birds, in sharp contrast to what is seen in primates and mice.",Columbia University,10.1002/ece3.72313,Hooper DM et al. (2025) Recent Divergence and Microgeographic Genetic Structure in an Endangered Australian Songbird: The Southern Black-Throated Finch,,,5 candidates; top one shown
PRJEB11743,unreviewed,WHOLE GENOME SEQUENCING OF TURBOT: A FISH ADAPTED TO DEMERSAL LIFE,Centro Nacional de Análisis Genómico,10.1093/dnares/dsw007,Figueras A et al. (2016) Whole genome sequencing of turbot (Scophthalmus maximus; Pleuronectiformes): a fish adapted to demersal life,,,3 candidates; top one shown
PRJEB1254,unreviewed,Cichlid_diversity_sequencing___WTMGM_student_project,Wellcome Sanger Institute,10.1016/j.isci.2023.108669,Liu Z et al. (2024) Nuclear environmental DNA resolves fine-scale population genetic structure in an aquatic habitat,,,12 candidates; top one shown
PRJEB14402,unreviewed,Genomic insights reveal a shared demographic history of differentiated Atlantic and Indo-Pacific yellowfin tuna (Thunnus albacares) populations,University of Oslo,10.1093/gbe/evx067,Barth JMI et al. (2017) Genomic Differentiation and Demographic Histories of Atlantic and Indo-Pacific Yellowfin Tuna (Thunnus albacares) Populations,,,
PRJEB15181,unreviewed,"Region-wide and ecotype-specific differences in demographic histories of threespine stickleback populations, estimated from whole genome sequences","AARHUS UNIVERSITY, DENMARK",,,,,no Europe PMC full-text match
PRJEB15235,unreviewed,Fitness Consequences of Polymorphic Inversions in the Zebra Finch Genome,Max Planck Institute for Ornithology,,,,,no Europe PMC full-text match
PRJEB15663,unreviewed,The first draft reference genome of the American mink (Neovison vison),Center for Quantitative Genetics and Genomics,,,,,no Europe PMC full-text match
PRJEB16307,unreviewed,American mink genome sequencing,AARHUS UNIVERSITY,10.1038/s41598-017-15169-z,Cai Z et al. (2017) The first draft reference genome of the American mink (Neovison vison),,,
PRJEB19273,unreviewed,Vertebrate_Genome_Project_FISH,Wellcome Sanger Institute,10.1038/s41597-024-03277-1,Fodor E et al. (2024) The reference genome of Macropodus opercularis (the paradise fish),,,5 candidates; top one shown
PRJEB20373,unreviewed,A Phylogenomic Perspective on the Evolutionary History of the True Geese,WAGENINGEN UNIVERSITY,10.1093/molbev/msac160,Jax E et al. (2022) Comparative Genomics of the Waterfowl Innate Immune System,,,2 candidates; top one shown
PRJEB21343,unreviewed,Whole_genome_sequences_of_Lake_Malawi_haplochromine_cichlid_fish,Wellcome Sanger Institute,10.1093/molbev/msaf147,Camacho García JI et al. (2025) Widespread Genetic Signals of Visual System Adaptation in Deepwater Cichlid Fishes,,,
PRJEB22206,unreviewed,25_Genomes_for_25_Years_of_Genomics,Wellcome Sanger Institute,,,,,no Europe PMC full-text match
PRJEB25124,unreviewed,Anabantoid_93_fin_clips,Wellcome Sanger Institute,10.1126/sciadv.abm4950,Kwon YM et al. (2022) Genomic consequences of domestication of the Siamese fighting fish,,,
PRJEB27649,unreviewed,Signatures of human-commensalism in the house sparrow genome,University of Oslo,10.1098/rspb.2018.1246,Ravinet M et al. (2018) Signatures of human-commensalism in the house sparrow genome,,,
PRJEB27804,unreviewed,2018_cichlid_Massoko_DNA,Wellcome Sanger Institute,10.1016/j.isci.2023.108669,Liu Z et al. (2024) Nuclear environmental DNA resolves fine-scale population genetic structure in an aquatic habitat,,,
PRJEB30931,unreviewed,This is a data repository for sheep genomes that have been re-sequenced for various congenital traits,"Institute of Genetics, University of Bern, Switzerland",10.1186/s12711-025-01002-z,Jacinto J et al. (2025) Exploring skeletal disorders in cattle and sheep: a WGS-based framework for diagnosis and classification,,,6 candidates; top one shown
PRJEB31857,unreviewed,This dataset includes a total of 266 whole genome sequencing data from goats (AGIN-USDA). It has been uploaded for the VarGoats Consortium (http://www.goatgenome.org/vargoats.html). To use this dataset please contact: Emily.Clark@roslin.ed.ac.uk or gwenola.tosser@inra.fr or Ben.Rosen@ARS.USDA.GOV or vargoats@inra.fr,THE ROSLIN INSTITUTE,10.1101/2025.09.30.679575,Mármol-Sánchez E et al. (2025) The variability of goat microRNA genes is strongly shaped by functional constraints,,,2 candidates; top one shown
PRJEB32126,unreviewed,Evolution of pregnancy reveals remodeling of vertebrate immunity,University of Oslo,10.1073/pnas.1916251117,Roth O et al. (2020) Evolution of male pregnancy associated with remodeling of canonical vertebrate immunity in seahorses and pipefishes,,,
PRJEB32376,unreviewed,Cross_species_somatic_mutation_rate_project___ring_tailed_lemur,Wellcome Sanger Institute,,,,,no Europe PMC full-text match
PRJEB35788,unreviewed,Recent introgression between Taiga Bean Goose and Tundra Bean Goose results in a largely homogeneous landscape of genetic differentiation,WAGENINGEN UNIVERSITY,10.1186/s12862-023-02103-3,Ottenburghs J et al. (2023) Highly differentiated loci resolve phylogenetic relationships in the Bean Goose complex,,,2 candidates; top one shown
PRJEB36560,unreviewed,Whole-genome assembly of European plaice (Pleuronectes platessa),Thuenen-Institute of Fisheries Ecology,,,,,no Europe PMC full-text match
PRJEB36564,unreviewed,Low-coverage whole-genome re-sequencing of European plaice (Pleuronectes platessa),Thuenen-Institute of Fisheries Ecology,,,,,no Europe PMC full-text match
PRJEB37122,unreviewed,"This dataset includes a total of 337 whole genome sequencing data from goats generated at Genoscope (Evry, France). It has been uploaded for the VarGoats Consortium (http://www.goatgenome.org/vargoats.html). To use this dataset please contact: gwenola.tosser@inra.fr or vargoats@inrae.fr",THE ROSLIN INSTITUTE,10.1016/j.vas.2026.100626,Petzl E et al. (2026) Identification of a recessive &lt;i&gt;PCDH15&lt;/i&gt; nonsense variant in purebred goats with vestibular dysfunction,,,5 candidates; top one shown
