ScientificName,QID,Accession.for.main.haplotype
Tetrao urogallus,100830,GCA_951394365.1
Arvicola amphibius,1047088,GCA_903992535.2
Myotis nattereri,109481,GCA_964212035.2
Caprimulgus europaeus,111811,GCA_907165065.1
Dryobates pubescens,118200,GCA_014839835.1
Anser brachyrhynchus,132585,GCA_964034855.1
Anser erythropus,132586,GCA_965277985.1
Anser fabalis,132587,GCA_965250395.1
Carcharodon carcharias,13397,GCA_017639515.1
Pungitius pungitius,134920,GCA_949316345.1
Geothlypis trichas,135433,GCA_009764595.1
Monodelphis domestica,13616,GCA_027887165.2
Manis pentadactyla,143292,GCA_030020395.1
Cyanistes caeruleus,156563,GCA_971803275.1
Betta splendens,158456,GCA_900634795.4
Syngnathus typhle,161592,GCA_048301445.1
Hemiscyllium ocellatum,170820,GCA_020745735.1
Symphodus melops,171736,GCA_947650265.1
Chlamydotis macqueenii,187382,GCA_036417535.1
Sprattus sprattus,196075,GCA_963457725.1
Mastacembelus armatus,205130,GCA_900324485.3
Aquila chrysaetos chrysaetos,223781,GCA_900496995.4
Strigops habroptila,2489341,GCA_004027225.2
Apteryx mantelli mantelli,2696672,GCA_036417845.1
Balaenoptera ricei,2746895,GCA_028023285.1
Eubalaena glacialis,27606,GCA_028564815.2
Sardina pilchardus,27697,GCA_963854185.1
Micropterus salmoides,27706,GCA_019677235.1
Acridotheres tristis,279927,GCA_027559615.1
Aulonocara stuartgranti,286572,GCA_965226115.1
Oenanthe melanoleuca,2939378,GCA_029582105.1
Haemorhous mexicanus,30427,GCA_027477595.1
Takifugu rubripes,31033,GCA_901000725.3
Lateolabrax maculatus,315492,GCA_031216445.1
Tautogolabrus adspersus,34787,GCA_020745685.1
Trachurus trachurus,36212,GCA_905171665.2
Mustela erminea,36723,GCA_009829155.1
Ovis canadensis,37174,GCA_042477335.2
Fringilla coelebs palmae,37598,GCA_963513975.1
Erithacus rubecula,37610,GCA_903797595.2
Phascolarctos cinereus,38626,GCA_003287225.3
Amblyraja radiata,386614,GCA_010909765.2
Monodon monoceros,40151,GCA_005190385.4
Lonchura striata,40157,GCA_046129695.1
Phocoena sinus,42100,GCA_008692025.1
Hirundo rustica,43150,GCA_015227805.3
Zosterops lateralis cornwalli,43581,GCA_965231275.1
Zonotrichia albicollis,44394,GCA_047830755.1
Neovison vison,452646,GCA_964106545.1
Rhamphochromis sp. 'chilingali',454631,GCA_963969265.1
Sylvia atricapilla,48155,GCA_009819655.1
Eublepharis macularius,481883,GCA_028583425.1
Hyperoodon ampullatus,48744,GCA_949752795.1
Pogoniulus pusillus,488313,GCA_015220805.1
Passer domesticus,48849,GCA_036417665.1
Poecile atricapillus,48891,GCA_030490865.1
Pseudophryne corroboree,495146,GCA_028390025.1
Anser albifrons,50365,GCA_976913865.1
Myotis myotis,51298,GCA_014108235.2
Shinisaurus crocodilurus,52224,GCA_021292165.1
Scophthalmus maximus,52904,GCA_963854745.1
Cuculus canorus,55661,GCA_017976375.1
Labrus bergylta,56723,GCA_963930695.1
Phoxinus phoxinus,58324,GCA_949152265.1
Coregonus lavaretus,59291,GCA_964263955.1
Rhinolophus affinis,59477,GCA_043728065.1
Taeniopygia guttata,59729,GCA_048771995.1
Neofelis nebulosa,61452,GCA_028018385.1
Archocentrus centrarchus,63155,GCA_007364275.2
Podarcis muralis,64176,GCA_964188315.1
Podarcis raffonei,65483,GCA_027172205.1
Gasterosteus aculeatus,69293,GCA_964276395.1
Scatophagus argus,75038,GCA_020382885.1
Petromyzon marinus,7757,GCA_048934315.1
Anguilla anguilla,7936,GCA_013347855.1
Astyanax mexicanus,7994,GCA_023375975.1
Esox lucius,8010,GCA_011004845.1
Salmo trutta,8032,GCA_901001165.2
Salvelinus alpinus salvelinus,8036,GCA_054100595.1
Gadus morhua,8049,GCA_902167405.1
Cyclopterus lumpus,8103,GCA_009769545.1
Haplochromis burtoni,8153,GCA_054824465.1
Astatotilapia calliptera,8154,GCA_964374335.1
Sparus aurata,8175,GCA_900880675.2
Acanthopagrus latus,8177,GCA_904848185.1
Thunnus albacares,8236,GCA_914725855.1
Thunnus thynnus,8237,GCA_963924715.1
Platichthys flesus,8260,GCA_949316205.1
Pleuronectes platessa,8262,GCA_947347685.1
Anser anser,8843,GCA_964211835.1
Anser cygnoides,8845,GCA_040182565.1
Columba livia,8932,GCA_036013475.2
Falco peregrinus,8954,GCA_023634155.1
Haliaeetus albicilla,8969,GCA_947461875.1
Gallus gallus gallus,9031,GCA_016700215.2
Grus americana,9117,GCA_028858705.1
Serinus canaria,9135,GCA_055764355.1
Sturnus vulgaris,9172,GCA_052056855.1
Catharus ustulatus,91951,GCA_009819885.2
Macrotis lagotis,92651,GCA_037893015.1
Sminthopsis crassicaudata,9301,GCA_048593235.1
Notamacropus eugenii,9315,GCA_028372415.2
