sample_id,input_type,input
SAMN40463416,srr,SRR28349114
SAMN40463417,srr,SRR28349113
SAMN40463418,srr,SRR28349102
SAMN40463419,srr,SRR28349100
SAMN40463420,srr,SRR28349099
SAMN40463421,srr,SRR28349098
SAMN40463422,srr,SRR28349097
SAMN40463423,srr,SRR28349096
SAMN40463424,srr,SRR28349095
SAMN40463425,srr,SRR28349094
SAMN40463426,srr,SRR28349112
SAMN40463427,srr,SRR28349111
SAMN40463428,srr,SRR28349110
SAMN40463429,srr,SRR28349109
SAMN40463430,srr,SRR28349108
SAMN40463431,srr,SRR28349107
SAMN40463432,srr,SRR28349106
SAMN40463433,srr,SRR28349105
SAMN40463434,srr,SRR28349104
SAMN40463435,srr,SRR28349103
