sample_id,input_type,input
SAMN27737813,srr,SRR18885543
SAMN32935147,srr,SRR27238656
SAMN38881494,srr,SRR27241959
SAMN38881495,srr,SRR27241958
SAMN38881496,srr,SRR27241947
SAMN38881497,srr,SRR27241936
SAMN38881498,srr,SRR27241935
SAMN38881499,srr,SRR27241934
SAMN38881500,srr,SRR27241933
SAMN38881501,srr,SRR27241932
SAMN38881502,srr,SRR27241931
SAMN38881503,srr,SRR27241930
SAMN38881504,srr,SRR27241957
SAMN38881505,srr,SRR27241956
SAMN38881506,srr,SRR27241955
SAMN38881507,srr,SRR27241954
SAMN38881508,srr,SRR27241953
SAMN38881509,srr,SRR27241952
SAMN38881510,srr,SRR27241951
SAMN38881511,srr,SRR27241950
SAMN38881512,srr,SRR27241949
SAMN38881513,srr,SRR27241948
SAMN38881514,srr,SRR27241946
SAMN38881515,srr,SRR27241945
SAMN38881516,srr,SRR27241944
SAMN38881517,srr,SRR27241943
SAMN38881518,srr,SRR27241942
SAMN38881519,srr,SRR27241941
SAMN38881520,srr,SRR27241940
SAMN38881521,srr,SRR27241939
SAMN38881522,srr,SRR27241938
SAMN38881523,srr,SRR27241937
SAMN43980009,srr,SRR30832891
SAMN43980010,srr,SRR30832890
SAMN43980011,srr,SRR30832879
SAMN43980012,srr,SRR30832868
SAMN43980013,srr,SRR30832857
SAMN43980014,srr,SRR30832846
SAMN43980015,srr,SRR30832843
SAMN43980016,srr,SRR30832842
SAMN43980017,srr,SRR30832841
SAMN43980018,srr,SRR30832840
SAMN43980019,srr,SRR30832889
SAMN43980020,srr,SRR30832888
SAMN43980021,srr,SRR30832887
SAMN43980022,srr,SRR30832886
SAMN43980023,srr,SRR30832885
SAMN43980024,srr,SRR30832884
SAMN43980025,srr,SRR30832883
SAMN43980026,srr,SRR30832882
SAMN43980027,srr,SRR30832881
SAMN43980028,srr,SRR30832880
SAMN43980029,srr,SRR30832878
SAMN43980030,srr,SRR30832877
SAMN43980031,srr,SRR30832876
SAMN43980032,srr,SRR30832875
SAMN43980033,srr,SRR30832874
SAMN43980034,srr,SRR30832873
SAMN43980035,srr,SRR30832872
SAMN43980036,srr,SRR30832871
SAMN43980037,srr,SRR30832870
SAMN43980038,srr,SRR30832869
SAMN43980039,srr,SRR30832867
SAMN43980040,srr,SRR30832866
SAMN43980041,srr,SRR30832865
SAMN43980042,srr,SRR30832864
SAMN43980043,srr,SRR30832863
SAMN43980044,srr,SRR30832862
SAMN43980045,srr,SRR30832861
SAMN43980046,srr,SRR30832860
SAMN43980047,srr,SRR30832859
SAMN43980048,srr,SRR30832858
SAMN43980049,srr,SRR30832856
SAMN43980050,srr,SRR30832855
SAMN43980051,srr,SRR30832854
SAMN43980052,srr,SRR30832853
SAMN43980053,srr,SRR30832852
SAMN43980054,srr,SRR30832851
SAMN43980055,srr,SRR30832850
SAMN43980056,srr,SRR30832849
SAMN43980057,srr,SRR30832848
SAMN43980058,srr,SRR30832847
SAMN43980059,srr,SRR30832845
SAMN43980060,srr,SRR30832844
