sample_id,input_type,input
SAMEA104378306,srr,ERX2249546
SAMEA104378306,srr,ERX2249547
SAMEA104378306,srr,ERX2249545
SAMEA112262519,srr,ERX10935436
SAMEA112262520,srr,ERX10935437
SAMEA112262521,srr,ERX10935438
SAMEA112262522,srr,ERX10935439
SAMEA112262523,srr,ERX10935440
SAMEA112262524,srr,ERX10935441
SAMEA112262525,srr,ERX10935442
SAMEA112262526,srr,ERX10935443
SAMEA112262527,srr,ERX10935444
SAMEA112262528,srr,ERX10935445
SAMEA112262529,srr,ERX10935446
SAMEA112262530,srr,ERX10935447
SAMEA112262531,srr,ERX10935448
SAMN16814035,srr,SRX9561779
SAMN16814046,srr,SRX9561791
SAMN16814047,srr,SRX9561792
SAMN16814048,srr,SRX9561793
SAMN16814049,srr,SRX9561794
SAMN16814054,srr,SRX9561800
SAMN16814062,srr,SRX9561808
SAMN18744284,srr,SRX10878573
SAMN18744285,srr,SRX10878574
SAMN18744286,srr,SRX10878576
SAMN18744287,srr,SRX10878577
SAMN18744288,srr,SRX10878578
SAMN18744289,srr,SRX10878579
SAMN18744290,srr,SRX10878580
SAMN18744291,srr,SRX10878581
SAMN18744292,srr,SRX10878582
SAMN21928428,srr,SRX12431039
SAMN21928429,srr,SRX12431043
SAMN21928430,srr,SRX12431044
SAMN21928432,srr,SRX12431046
SAMN26740353,srr,SRX14490926
SAMN26740354,srr,SRX14490925
SAMN26740355,srr,SRX14490924
SAMN26740356,srr,SRX14490948
SAMN26740357,srr,SRX14490947
SAMN26740358,srr,SRX14490946
