sample_id,input_type,input,library_id
SAMN01830643,srr,SRR1963906,ANSqnoTABRAAPEI-46
SAMN01830643,srr,SRR1963907,ANSqnoTAARAAPEI-45
SAMN01830643,srr,SRR630149,GOOorlDALDBABPE
SAMN01830643,srr,SRR630150,GOOorlDALDBAAPE
SAMN04562602,srr,SRR3234674,SRX1639462
SAMN12257601,srr,SRR9673283,AC_W
SAMN12886251,srr,SRR10214708,OE20172637ELD-H-LVR-8-LD-H-TG-14
SAMN12886252,srr,SRR10214707,OE20172637ELD-H-LVR-2
SAMN12886253,srr,SRR10214706,OE20172637ELD-H-LVR-1
SAMN12886254,srr,SRR10214705,OE20172637ELD-H-LVR-9
SAMN12886255,srr,SRR10214704,OE20172637ELD-H-LVR-10
SAMN12886256,srr,SRR10214703,OE20172637ELD-H-LVR-5
SAMN12886257,srr,SRR10214702,OE20172637ELD-H-LVR-4
SAMN12886258,srr,SRR10214701,OE20172637ELD-H-LVR-6-LD-H-TG-13
SAMN12896844,srr,SRR10216508,BGI_2017L1
SAMN12896845,srr,SRR10216507,BGI_2017L2
SAMN12896846,srr,SRR10216496,BGI_2017L3
SAMN12896847,srr,SRR10216493,BGI_2017L4
SAMN12896848,srr,SRR10216492,BGI_2017L5
SAMN12896849,srr,SRR10216491,BGI_2017L6
SAMN12896850,srr,SRR10216490,BGI_2017L7
SAMN12896851,srr,SRR10216489,BGI_2017L8
SAMN12896852,srr,SRR10216488,BGI_2017L9
SAMN12896853,srr,SRR10216487,BGI_2017L10
SAMN12896854,srr,SRR10216506,BGI_2017L11
SAMN12896855,srr,SRR10216505,BGI_2017L12
SAMN12896856,srr,SRR10216504,BGI_2017L13
SAMN12896857,srr,SRR10216503,BGI_2017L14
SAMN12896858,srr,SRR10216502,BGI_2017L15
SAMN12896859,srr,SRR10216501,BGI_2017L16
SAMN12896860,srr,SRR10216500,BGI_2017L17
SAMN12896861,srr,SRR10216499,BGI_2017L18
SAMN12896862,srr,SRR10216498,BGI_2017L19
SAMN12896863,srr,SRR10216497,BGI_2017L20
SAMN12896864,srr,SRR10216495,BGI_2017L21
SAMN12896865,srr,SRR10216494,BGI_2017L22
SAMN13281505,srr,SRR10483517,Goose_denovo_WGS_lane_3
SAMN15770947,srr,SRR12418404,LHG_DNA_illumina
SAMN16073391,srr,SRR12603910,FC1
SAMN16073392,srr,SRR12603909,FC2
SAMN16073393,srr,SRR12603900,FC3
SAMN16073394,srr,SRR12603899,LH1
SAMN16073395,srr,SRR12603898,LH2
SAMN16073396,srr,SRR12603897,LH3
SAMN16073397,srr,SRR12603896,LX1
SAMN16073398,srr,SRR12603895,LX2
SAMN16073399,srr,SRR12603894,LX3
SAMN16073400,srr,SRR12603893,TH1
SAMN16073401,srr,SRR12603908,TH2
SAMN16073402,srr,SRR12603907,TH3
