sample_id,input_type,input
SAMEA112262532,srr,ERR11530885
SAMEA112262533,srr,ERR11530886
SAMEA112262534,srr,ERR11530887
SAMEA104378304,srr,ERR2193517
SAMEA104378304,srr,ERR2193518
SAMEA7456484,srr,ERR4691125
SAMEA7456485,srr,ERR4691126
SAMEA7456486,srr,ERR4691127
SAMEA7456487,srr,ERR4691128
SAMEA7456488,srr,ERR4691129
SAMEA7456489,srr,ERR4691130
SAMEA7456490,srr,ERR4691131
SAMEA7456491,srr,ERR4691132
SAMEA7456492,srr,ERR4691133
SAMEA7456493,srr,ERR4691134
SAMEA7456493,srr,ERR4691135
SAMEA7456494,srr,ERR4691136
SAMEA7456495,srr,ERR4691137
SAMEA7456496,srr,ERR4691138
SAMEA7456497,srr,ERR4691139
SAMEA7456498,srr,ERR4691140
SAMEA7456499,srr,ERR4691141
SAMEA7456500,srr,ERR4691142
SAMEA7456501,srr,ERR4691143
SAMEA7456502,srr,ERR4691144
SAMEA7456503,srr,ERR4691145
