sample_id,input_type,input
SAMEA2554516,srr,ERR519283
SAMEA2554517,srr,ERR519284
SAMN20169426,srr,SRR15100665
SAMN20169428,srr,SRR15100653
SAMN20169429,srr,SRR15100642
SAMN20169430,srr,SRR15100631
SAMN20169431,srr,SRR15100620
SAMN20169432,srr,SRR15100617
SAMN20169433,srr,SRR15100616
SAMN20169434,srr,SRR15100615
SAMN20169435,srr,SRR15100614
SAMN20169436,srr,SRR15100663
SAMN20169437,srr,SRR15100662
SAMN20169438,srr,SRR15100661
SAMN20169439,srr,SRR15100660
SAMN20169440,srr,SRR15100659
SAMN20169441,srr,SRR15100658
SAMN20169442,srr,SRR15100657
SAMN20169443,srr,SRR15100656
