sample_id,input_type,input
SAMEA994725,srr,ERR3316068
SAMD00454443,srr,DRR361046
SAMD00454446,srr,DRR361049
SAMD00454447,srr,DRR361050
SAMD00454448,srr,DRR361051
SAMD00454449,srr,DRR361052
SAMD00454450,srr,DRR361053
SAMD00454451,srr,DRR361054
SAMD00454452,srr,DRR361055
SAMD00454453,srr,DRR361056
SAMD00454454,srr,DRR361057
SAMD00454455,srr,DRR361058
SAMD00454456,srr,DRR361059
SAMD00454457,srr,DRR361060
SAMD00454458,srr,DRR361061
SAMD00454459,srr,DRR361062
SAMD00454460,srr,DRR361063
SAMD00454461,srr,DRR361064
