sample_id,input_type,input
SAMEA7524434,srr,ERR6054684
SAMEA7524434,srr,ERR6054686
SAMN43815191,srr,SRR30715017
SAMN43815196,srr,SRR30715090
SAMN43815197,srr,SRR30715089
SAMN43815213,srr,SRR30715071
SAMN43815218,srr,SRR30715066
SAMN43815228,srr,SRR30715055
SAMN43815248,srr,SRR30715033
SAMN43815249,srr,SRR30715032
SAMN43815250,srr,SRR30715031
SAMN43815251,srr,SRR30715030
SAMN43815254,srr,SRR30715026
SAMN43815264,srr,SRR30715015
SAMN43815265,srr,SRR30715014
SAMN43815266,srr,SRR30715013
SAMN43815267,srr,SRR30715012
SAMN43815268,srr,SRR30715011
SAMN43815269,srr,SRR30715010
SAMN43815271,srr,SRR30715008
SAMN43815276,srr,SRR30715002
SAMN43815277,srr,SRR30715001
SAMN43815279,srr,SRR30714999
