sample_id,input_type,input
SAMN03353677,srr,SRR1812367
SAMN03353677,srr,SRR1813059
SAMN03353678,srr,SRR1812368
SAMN03353678,srr,SRR1813075
SAMN03353679,srr,SRR1812373
SAMN03353680,srr,SRR1812374
SAMN03353681,srr,SRR1812117
SAMN03353681,srr,SRR1812165
SAMN04998769,srr,SRR3501776
SAMN04998770,srr,SRR3501827
SAMN12618602,srr,SRR25728368
SAMN12618602,srr,SRR25728373
SAMN21302709,srr,SRR15809680
SAMN21302710,srr,SRR15809679
SAMN35616070,srr,SRR25018797
SAMN35616143,srr,SRR25018951
SAMN35616229,srr,SRR25018921
SAMN35616267,srr,SRR25019010
SAMN35616268,srr,SRR25019009
SAMN35616269,srr,SRR25019008
SAMN35616303,srr,SRR25018742
SAMN35616306,srr,SRR25018739
SAMN35616311,srr,SRR25018733
SAMN35616313,srr,SRR25018731
SAMN35616316,srr,SRR25018824
SAMN35616343,srr,SRR25018793
SAMN35616344,srr,SRR25018792
SAMN35616345,srr,SRR25018791
SAMN35616346,srr,SRR25018790
SAMN35616347,srr,SRR25018789
SAMN35616348,srr,SRR25018788
SAMN35616349,srr,SRR25018787
SAMN35616350,srr,SRR25018785
SAMN35616351,srr,SRR25018784
SAMN35616355,srr,SRR25018780
SAMN35616357,srr,SRR25018778
SAMN37694567,srr,SRR26292437
SAMN37694572,srr,SRR26292370
SAMN37694577,srr,SRR26292110
SAMN37694578,srr,SRR26292111
SAMN37694626,srr,SRR26292124
SAMN37694631,srr,SRR26292149
SAMN37694642,srr,SRR26292094
SAMN37694654,srr,SRR26292091
SAMN37694684,srr,SRR26292196
SAMN37694689,srr,SRR26292201
SAMN37694729,srr,SRR26292351
SAMN37694730,srr,SRR26292350
SAMN37694766,srr,SRR26292246
SAMN37694793,srr,SRR26292367
SAMN37694810,srr,SRR26292329
SAMN37694822,srr,SRR26292315
SAMN37694826,srr,SRR26292311
SAMN42203754,srr,SRR29663737
SAMN42203754,srr,SRR32479977
