sample_id,input_type,input
SAMN02324157,srr,SRR954904
SAMN02324157,srr,SRR954903
SAMN39296384,srr,SRR29988703
SAMN39296385,srr,SRR29988518
SAMN52655189,srr,SRR35788388
SAMN52655190,srr,SRR35788425
SAMN52655191,srr,SRR35788423
SAMN52655192,srr,SRR35788422
SAMN52655193,srr,SRR35788420
SAMN52655194,srr,SRR35788419
SAMN52655195,srr,SRR35788418
SAMN52655196,srr,SRR35788421
SAMN52655197,srr,SRR35788417
SAMN52655198,srr,SRR35788416
SAMN52655199,srr,SRR35788415
SAMN52655200,srr,SRR35788414
SAMN52655201,srr,SRR35788411
SAMN52655202,srr,SRR35788410
SAMN52655203,srr,SRR35788413
SAMN52655204,srr,SRR35788409
SAMN52655205,srr,SRR35788408
SAMN52655206,srr,SRR35788381
SAMN52655207,srr,SRR35788379
SAMN52655208,srr,SRR35788378
SAMN52655209,srr,SRR35788377
SAMN52655210,srr,SRR35788376
SAMN52655211,srr,SRR35788374
SAMN52655212,srr,SRR35788373
SAMN52655213,srr,SRR35788372
SAMN52655214,srr,SRR35788371
SAMN52655215,srr,SRR35788370
SAMN52655216,srr,SRR35788369
SAMN52655217,srr,SRR35788367
SAMN52655218,srr,SRR35788366
