sample_id,input_type,input,library_id
SAMN00993249,srr,SRR511892,PIGikpDAWDBAAPE
SAMN00993250,srr,SRR511911,PIGikpDAWDBAAPE
SAMN00993251,srr,SRR511912,PIGikpDAWDIAAPE
SAMN00993252,srr,SRR511913,PIGikpDAWDIAAPE
SAMN00993253,srr,SRR511914,PIGikpDAWDMAAPE
SAMN00993254,srr,SRR511915,PIGikpDAWDMAAPE
SAMN01057532,srr,SRR516967,8449X1
SAMN01057533,srr,SRR516968,8449X2
SAMN01057534,srr,SRR516969,COLcalRDGDIAAPE
SAMN01057534,srr,SRR516970,COLcalRDSDIAAPE
SAMN01057534,srr,SRR516971,COLcalRDQDIAAPE
SAMN01057535,srr,SRR516972,PIGtkyRDIDIAAPEI-7
SAMN01057539,srr,SRR516976,COLcalRBCDIAAPE
SAMN01057540,srr,SRR516977,COLcalRAGDIAAPE
SAMN01057541,srr,SRR516978,COLcalRAHDIAAPE
SAMN01057542,srr,SRR516979,COLcalRAIDIAAPE
SAMN01057543,srr,SRR516980,COLcalRAJDIAAPE
SAMN01057544,srr,SRR516981,COLcalRAKDIAAPE
SAMN01057546,srr,SRR516983,COLcalRAMDIAAPE
SAMN01057547,srr,SRR516984,COLcalRANDIAAPE
SAMN01057548,srr,SRR516985,COLcalRAODIAAPE
SAMN01057550,srr,SRR516987,COLcalRAQDIAAPE
SAMN01057552,srr,SRR516989,COLcalRASDIAAPE
SAMN01057554,srr,SRR516991,COLcalRADDIAAPE
SAMN01057555,srr,SRR516992,COLcalRAFDIAAPE
SAMN01057557,srr,SRR516994,COLcalRABDIAAPE
SAMN01057558,srr,SRR516995,COLcalRBDDIAAPE
SAMN01057559,srr,SRR516996,COLcalRBEDIAAPE
SAMN01057560,srr,SRR516997,COLcalRBFDIAAPE
SAMN01057561,srr,SRR516998,COLcalRBGDIAAPE
SAMN01057562,srr,SRR516999,COLcalRBHDIAAPE
SAMN01057563,srr,SRR517000,COLcalRBIDIAAPE
SAMN01057564,srr,SRR517001,COLcalRBJDIAAPE
SAMN01057565,srr,SRR517002,COLcalRAUDIAAPE
SAMN01057566,srr,SRR517003,COLcalRAVDIAAPE
SAMN01057568,srr,SRR517005,COLcalRAXDIAAPE
SAMN01057569,srr,SRR517006,COLcalRAYDIAAPE
SAMN01057570,srr,SRR517007,COLcalRAZDIAAPE
