sample_id,input_type,input
SAMN03734925,srr,SRR2040605
SAMN21168617,srr,SRR16182171
SAMN21168618,srr,SRR16182170
SAMN21168619,srr,SRR16182150
SAMN21168620,srr,SRR16182139
SAMN21168621,srr,SRR16182128
SAMN21168622,srr,SRR16182117
SAMN21168623,srr,SRR16182106
SAMN21168624,srr,SRR16182166
SAMN21168625,srr,SRR16182160
SAMN21168626,srr,SRR16182159
SAMN21168627,srr,SRR16182169
SAMN21168628,srr,SRR16182168
SAMN21168629,srr,SRR16182158
SAMN21168630,srr,SRR16182157
SAMN21168631,srr,SRR16182156
SAMN21168632,srr,SRR16182155
SAMN21168633,srr,SRR16182154
SAMN21168634,srr,SRR16182153
SAMN21168635,srr,SRR16182152
SAMN21168636,srr,SRR16182151
SAMN21168637,srr,SRR16182149
SAMN21168638,srr,SRR16182148
SAMN21168639,srr,SRR16182147
SAMN21168640,srr,SRR16182146
SAMN21168641,srr,SRR16182145
SAMN21168642,srr,SRR16182144
SAMN21168643,srr,SRR16182143
SAMN21168644,srr,SRR16182142
SAMN21168645,srr,SRR16182141
SAMN21168646,srr,SRR16182140
SAMN21168647,srr,SRR16182138
SAMN21168648,srr,SRR16182137
SAMN21168649,srr,SRR16182136
SAMN21168650,srr,SRR16182135
SAMN21168651,srr,SRR16182134
SAMN21168652,srr,SRR16182133
SAMN21168653,srr,SRR16182132
SAMN21168654,srr,SRR16182131
SAMN21168655,srr,SRR16182130
SAMN21168656,srr,SRR16182129
SAMN21168657,srr,SRR16182127
SAMN21168658,srr,SRR16182126
SAMN21168659,srr,SRR16182125
SAMN21168660,srr,SRR16182124
SAMN21168661,srr,SRR16182123
SAMN21168662,srr,SRR16182122
SAMN21168663,srr,SRR16182121
SAMN21168664,srr,SRR16182120
SAMN21168665,srr,SRR16182119
SAMN21168666,srr,SRR16182118
SAMN21168667,srr,SRR16182116
SAMN21168668,srr,SRR16182115
SAMN21168669,srr,SRR16182114
SAMN21168670,srr,SRR16182113
SAMN21168671,srr,SRR16182112
SAMN21168672,srr,SRR16182111
SAMN21168673,srr,SRR16182110
SAMN21168674,srr,SRR16182109
SAMN21168675,srr,SRR16182108
SAMN21168676,srr,SRR16182107
SAMN21168677,srr,SRR16182105
SAMN21168678,srr,SRR16182104
SAMN21168679,srr,SRR16182103
SAMN21168680,srr,SRR16182102
SAMN21168681,srr,SRR16182101
SAMN21168682,srr,SRR16182100
SAMN21168683,srr,SRR16182099
SAMN21168684,srr,SRR16182098
SAMN21168685,srr,SRR16182097
SAMN21168686,srr,SRR16182167
SAMN21168687,srr,SRR16182165
SAMN21168688,srr,SRR16182164
SAMN21168689,srr,SRR16182163
SAMN21168690,srr,SRR16182162
SAMN21168691,srr,SRR16182161
