sample_id,input_type,input
SAMN02314405,srr,SRR949789
SAMN02314405,srr,SRR949790
SAMN09081280,srr,SRR7126551
SAMN12629497,srr,SRR25382985
SAMN32543607,srr,SRR22957583
SAMN32543608,srr,SRR22957582
SAMN32543619,srr,SRR22957570
SAMN32543622,srr,SRR22957567
SAMN32543625,srr,SRR22957563
SAMN32543631,srr,SRR22957557
SAMN32543654,srr,SRR22957531
SAMN32543658,srr,SRR22957527
SAMN48575279,srr,SRR33614320
SAMN48575280,srr,SRR33614319
SAMN48575281,srr,SRR33614318
SAMN48575282,srr,SRR33614317
SAMN48575283,srr,SRR33614316
SAMN48575284,srr,SRR33614315
SAMN48575285,srr,SRR33614314
SAMN48575286,srr,SRR33614313
SAMN48575287,srr,SRR33614312
SAMN48575288,srr,SRR33614311
