sample_id,input_type,input,library_id
SAMEA115094610,srr,ERR12528427,Illumina_DNA_PCR-Free
SAMEA115094610,srr,ERR12528428,Illumina_DNA_PCR-Free
SAMEA115094610,srr,ERR12528429,Illumina_DNA_PCR-Free
SAMEA115094610,srr,ERR12528430,Illumina_DNA_PCR-Free
SAMEA115094611,srr,ERR12528595,Illumina_DNA_PCR-Free
SAMEA115094611,srr,ERR12528596,Illumina_DNA_PCR-Free
SAMEA115094611,srr,ERR12528597,Illumina_DNA_PCR-Free
SAMEA115094611,srr,ERR12528598,Illumina_DNA_PCR-Free
SAMEA115094612,srr,ERR12528431,Illumina_DNA_PCR-Free
SAMEA115094612,srr,ERR12528432,Illumina_DNA_PCR-Free
SAMEA115094612,srr,ERR12528433,Illumina_DNA_PCR-Free
SAMEA115094612,srr,ERR12528434,Illumina_DNA_PCR-Free
SAMEA115094613,srr,ERR12528435,Illumina_DNA_PCR-Free
SAMEA115094613,srr,ERR12528436,Illumina_DNA_PCR-Free
SAMEA115094613,srr,ERR12528437,Illumina_DNA_PCR-Free
SAMEA115094613,srr,ERR12528438,Illumina_DNA_PCR-Free
SAMEA115094614,srr,ERR12528439,Illumina_DNA_PCR-Free
SAMEA115094614,srr,ERR12528440,Illumina_DNA_PCR-Free
SAMEA115094614,srr,ERR12528441,Illumina_DNA_PCR-Free
SAMEA115094614,srr,ERR12528442,Illumina_DNA_PCR-Free
SAMEA115094615,srr,ERR12528443,Illumina_DNA_PCR-Free
SAMEA115094615,srr,ERR12528444,Illumina_DNA_PCR-Free
SAMEA115094615,srr,ERR12528445,Illumina_DNA_PCR-Free
SAMEA115094615,srr,ERR12528446,Illumina_DNA_PCR-Free
SAMEA115094616,srr,ERR12528447,Illumina_DNA_PCR-Free
SAMEA115094616,srr,ERR12528448,Illumina_DNA_PCR-Free
SAMEA115094616,srr,ERR12528449,Illumina_DNA_PCR-Free
SAMEA115094616,srr,ERR12528450,Illumina_DNA_PCR-Free
SAMEA115094617,srr,ERR12528543,Illumina_DNA_PCR-Free
SAMEA115094617,srr,ERR12528544,Illumina_DNA_PCR-Free
SAMEA115094617,srr,ERR12528545,Illumina_DNA_PCR-Free
SAMEA115094617,srr,ERR12528546,Illumina_DNA_PCR-Free
SAMEA115094618,srr,ERR12528547,Illumina_DNA_PCR-Free
SAMEA115094618,srr,ERR12528548,Illumina_DNA_PCR-Free
SAMEA115094618,srr,ERR12528549,Illumina_DNA_PCR-Free
SAMEA115094618,srr,ERR12528550,Illumina_DNA_PCR-Free
SAMEA115094619,srr,ERR12528551,Illumina_DNA_PCR-Free
SAMEA115094619,srr,ERR12528552,Illumina_DNA_PCR-Free
SAMEA115094619,srr,ERR12528553,Illumina_DNA_PCR-Free
SAMEA115094619,srr,ERR12528554,Illumina_DNA_PCR-Free
SAMEA115094620,srr,ERR12528555,Illumina_DNA_PCR-Free
SAMEA115094620,srr,ERR12528556,Illumina_DNA_PCR-Free
SAMEA115094620,srr,ERR12528557,Illumina_DNA_PCR-Free
SAMEA115094620,srr,ERR12528558,Illumina_DNA_PCR-Free
SAMEA115094621,srr,ERR12528559,Illumina_DNA_PCR-Free
SAMEA115094621,srr,ERR12528560,Illumina_DNA_PCR-Free
SAMEA115094621,srr,ERR12528561,Illumina_DNA_PCR-Free
SAMEA115094621,srr,ERR12528562,Illumina_DNA_PCR-Free
SAMEA115094622,srr,ERR12528563,Illumina_DNA_PCR-Free
SAMEA115094622,srr,ERR12528564,Illumina_DNA_PCR-Free
SAMEA115094622,srr,ERR12528565,Illumina_DNA_PCR-Free
SAMEA115094622,srr,ERR12528566,Illumina_DNA_PCR-Free
SAMEA115094623,srr,ERR12528567,Illumina_DNA_PCR-Free
SAMEA115094623,srr,ERR12528568,Illumina_DNA_PCR-Free
SAMEA115094623,srr,ERR12528569,Illumina_DNA_PCR-Free
SAMEA115094623,srr,ERR12528570,Illumina_DNA_PCR-Free
SAMEA115094624,srr,ERR12528571,Illumina_DNA_PCR-Free
SAMEA115094624,srr,ERR12528572,Illumina_DNA_PCR-Free
SAMEA115094624,srr,ERR12528573,Illumina_DNA_PCR-Free
SAMEA115094624,srr,ERR12528574,Illumina_DNA_PCR-Free
SAMEA115094625,srr,ERR12528575,Illumina_DNA_PCR-Free
SAMEA115094625,srr,ERR12528576,Illumina_DNA_PCR-Free
SAMEA115094625,srr,ERR12528577,Illumina_DNA_PCR-Free
SAMEA115094625,srr,ERR12528578,Illumina_DNA_PCR-Free
SAMEA115094626,srr,ERR12528579,Illumina_DNA_PCR-Free
SAMEA115094626,srr,ERR12528580,Illumina_DNA_PCR-Free
SAMEA115094626,srr,ERR12528581,Illumina_DNA_PCR-Free
SAMEA115094626,srr,ERR12528582,Illumina_DNA_PCR-Free
SAMEA115094627,srr,ERR12528583,Illumina_DNA_PCR-Free
SAMEA115094627,srr,ERR12528584,Illumina_DNA_PCR-Free
SAMEA115094627,srr,ERR12528585,Illumina_DNA_PCR-Free
SAMEA115094627,srr,ERR12528586,Illumina_DNA_PCR-Free
SAMEA115094628,srr,ERR12528587,Illumina_DNA_PCR-Free
SAMEA115094628,srr,ERR12528588,Illumina_DNA_PCR-Free
SAMEA115094628,srr,ERR12528589,Illumina_DNA_PCR-Free
SAMEA115094628,srr,ERR12528590,Illumina_DNA_PCR-Free
SAMEA115094629,srr,ERR12528591,Illumina_DNA_PCR-Free
SAMEA115094629,srr,ERR12528592,Illumina_DNA_PCR-Free
SAMEA115094629,srr,ERR12528593,Illumina_DNA_PCR-Free
SAMEA115094629,srr,ERR12528594,Illumina_DNA_PCR-Free
SAMEA115094630,srr,ERR12528451,Illumina_DNA_PCR-Free
SAMEA115094630,srr,ERR12528452,Illumina_DNA_PCR-Free
SAMEA115094630,srr,ERR12528453,Illumina_DNA_PCR-Free
SAMEA115094630,srr,ERR12528454,Illumina_DNA_PCR-Free
SAMEA115094631,srr,ERR12528419,Illumina_DNA_PCR-Free
SAMEA115094631,srr,ERR12528420,Illumina_DNA_PCR-Free
SAMEA115094631,srr,ERR12528421,Illumina_DNA_PCR-Free
SAMEA115094631,srr,ERR12528422,Illumina_DNA_PCR-Free
SAMEA115094632,srr,ERR12528455,Illumina_DNA_PCR-Free
SAMEA115094632,srr,ERR12528456,Illumina_DNA_PCR-Free
SAMEA115094632,srr,ERR12528457,Illumina_DNA_PCR-Free
SAMEA115094632,srr,ERR12528458,Illumina_DNA_PCR-Free
SAMEA115094633,srr,ERR12528387,Illumina_DNA_PCR-Free
SAMEA115094633,srr,ERR12528388,Illumina_DNA_PCR-Free
SAMEA115094633,srr,ERR12528389,Illumina_DNA_PCR-Free
SAMEA115094633,srr,ERR12528390,Illumina_DNA_PCR-Free
SAMEA115094634,srr,ERR12528459,Illumina_DNA_PCR-Free
SAMEA115094634,srr,ERR12528460,Illumina_DNA_PCR-Free
SAMEA115094634,srr,ERR12528461,Illumina_DNA_PCR-Free
SAMEA115094634,srr,ERR12528462,Illumina_DNA_PCR-Free
SAMEA115094635,srr,ERR12528463,Illumina_DNA_PCR-Free
SAMEA115094635,srr,ERR12528464,Illumina_DNA_PCR-Free
SAMEA115094635,srr,ERR12528465,Illumina_DNA_PCR-Free
SAMEA115094635,srr,ERR12528466,Illumina_DNA_PCR-Free
SAMEA115094636,srr,ERR12528391,Illumina_DNA_PCR-Free
SAMEA115094636,srr,ERR12528392,Illumina_DNA_PCR-Free
SAMEA115094636,srr,ERR12528393,Illumina_DNA_PCR-Free
SAMEA115094636,srr,ERR12528394,Illumina_DNA_PCR-Free
SAMEA115094637,srr,ERR12528395,Illumina_DNA_PCR-Free
SAMEA115094637,srr,ERR12528396,Illumina_DNA_PCR-Free
SAMEA115094637,srr,ERR12528397,Illumina_DNA_PCR-Free
SAMEA115094637,srr,ERR12528398,Illumina_DNA_PCR-Free
SAMEA115094638,srr,ERR12528399,Illumina_DNA_PCR-Free
SAMEA115094638,srr,ERR12528400,Illumina_DNA_PCR-Free
SAMEA115094638,srr,ERR12528401,Illumina_DNA_PCR-Free
