sample_id,input_type,input
SAMD00156794,srr,DRR190967
SAMN17117209,srr,SRR13274499
SAMN17117209,srr,SRR13320258
SAMN17118395,srr,SRR13275271
SAMN17118869,srr,SRR13275722
SAMN17120643,srr,SRR13277387
SAMN17120643,srr,SRR13336266
SAMN17120864,srr,SRR13277473
SAMN17120864,srr,SRR13376018
SAMN17120865,srr,SRR13277475
SAMN17120865,srr,SRR13376038
SAMN17120983,srr,SRR13277490
SAMN17125933,srr,SRR13279071
SAMN17125933,srr,SRR13311299
SAMN17125934,srr,SRR13279069
SAMN17125934,srr,SRR13376037
SAMN17125935,srr,SRR13279231
SAMN17125935,srr,SRR13308152
SAMN17125936,srr,SRR13279232
SAMN17125936,srr,SRR13381401
SAMN17125937,srr,SRR13279136
SAMN17125937,srr,SRR13376039
SAMN17125938,srr,SRR13279233
SAMN17125939,srr,SRR13279070
SAMN17125939,srr,SRR13311495
SAMN17125946,srr,SRR13311282
SAMN17126931,srr,SRR13376020
SAMN17126933,srr,SRR13376021
SAMN17132232,srr,SRR13284718
SAMN17132232,srr,SRR13376032
SAMN17132248,srr,SRR13284634
SAMN17132248,srr,SRR13376033
SAMN17132259,srr,SRR13284738
SAMN17132259,srr,SRR13376034
SAMN17132314,srr,SRR13284710
SAMN17132314,srr,SRR13376035
SAMN17132315,srr,SRR13284741
SAMN17132315,srr,SRR13311279
SAMN17134049,srr,SRR13285863
SAMN17134049,srr,SRR13311281
SAMN17141464,srr,SRR13291694
SAMN17141464,srr,SRR13376036
SAMN17141518,srr,SRR13291718
SAMN17141580,srr,SRR13291719
SAMN17150318,srr,SRR13298315
SAMN17150848,srr,SRR13299792
SAMN17154545,srr,SRR13306816
SAMN17155198,srr,SRR13316926
SAMN17155199,srr,SRR13316928
SAMN17169283,srr,SRR13311280
SAMN17188551,srr,SRR13334593
SAMN17189680,srr,SRR13336267
SAMN17255110,srr,SRR13381402
SAMN24625190,srr,SRR17439739
SAMN24625194,srr,SRR17439735
SAMN35616017,srr,SRR24867331
SAMN35616018,srr,SRR24867330
SAMN35616019,srr,SRR24867319
SAMN35616020,srr,SRR24867317
SAMN35616025,srr,SRR24867312
SAMN35616026,srr,SRR24867311
SAMN35616027,srr,SRR24867329
SAMN35616028,srr,SRR24867328
SAMN35616029,srr,SRR24867327
SAMN35616030,srr,SRR24867326
SAMN35616031,srr,SRR24867325
SAMN35616032,srr,SRR24867324
SAMN35616033,srr,SRR24867323
SAMN35616033,srr,SRR24881078
SAMN35616034,srr,SRR24867322
SAMN35616035,srr,SRR24867321
SAMN35616036,srr,SRR24867320
SAMN35616037,srr,SRR24867318
SAMN35674408,srr,SRR24907313
SAMN35674409,srr,SRR24907312
SAMN35674410,srr,SRR24907301
SAMN35674411,srr,SRR24907290
SAMN35674412,srr,SRR24907279
SAMN35674413,srr,SRR24907277
SAMN35674414,srr,SRR24907276
SAMN35674415,srr,SRR24907275
SAMN35674416,srr,SRR24907274
SAMN35674417,srr,SRR24907273
SAMN35674418,srr,SRR24907311
SAMN35674419,srr,SRR24907310
SAMN35674420,srr,SRR24907309
SAMN35674421,srr,SRR24907308
SAMN35674422,srr,SRR24907307
SAMN35674428,srr,SRR24907300
SAMN35674429,srr,SRR24907299
SAMN35674430,srr,SRR24907298
SAMN35674431,srr,SRR24907297
SAMN35674432,srr,SRR24907296
SAMN35674433,srr,SRR24907295
SAMN35674434,srr,SRR24907294
SAMN35674435,srr,SRR24907293
SAMN35674436,srr,SRR24907292
SAMN35674437,srr,SRR24907291
SAMN35674438,srr,SRR24907289
SAMN35674439,srr,SRR24907288
SAMN35674440,srr,SRR24907287
SAMN35674441,srr,SRR24907286
SAMN35674442,srr,SRR24907285
SAMN35674443,srr,SRR24907284
SAMN35674444,srr,SRR24907283
SAMN35674445,srr,SRR24907282
SAMN35674446,srr,SRR24907281
SAMN36403199,srr,SRR25232148
SAMN36403200,srr,SRR25232147
