sample_id,input_type,input
SAMN16094436,srr,SRR12816857
SAMN16094437,srr,SRR12816856
SAMN16094438,srr,SRR12816845
SAMN16094439,srr,SRR12816840
SAMN16094440,srr,SRR12816839
SAMN16094441,srr,SRR12816838
SAMN16094442,srr,SRR12816837
SAMN16094443,srr,SRR12816836
SAMN16094444,srr,SRR12816835
SAMN16094445,srr,SRR12816834
SAMN16094446,srr,SRR12816855
SAMN16094447,srr,SRR12816854
SAMN16094448,srr,SRR12816853
SAMN16094449,srr,SRR12816852
SAMN16094450,srr,SRR12816851
SAMN16094451,srr,SRR12816850
SAMN16094452,srr,SRR12816849
SAMN16094453,srr,SRR12816848
SAMN16094454,srr,SRR12816847
SAMN16094455,srr,SRR12816846
SAMN16094456,srr,SRR12816844
SAMN16094457,srr,SRR12816843
SAMN16094458,srr,SRR12816842
SAMN16094459,srr,SRR12816841
SAMN16636146,srr,SRR12998621
