sample_id,input_type,input
SAMN12631222,srr,SRR35270310
SAMN12631222,srr,SRR35270268
SAMN12631222,srr,SRR35270313
SAMN12631222,srr,SRR35270270
SAMN12631222,srr,SRR35270312
SAMN12631222,srr,SRR35270266
SAMN12631222,srr,SRR35270269
SAMN12631222,srr,SRR35270286
SAMN12631222,srr,SRR35270301
SAMN19678190,srr,SRR14793415
SAMN19678191,srr,SRR14793414
SAMN19678192,srr,SRR14793413
SAMN19678193,srr,SRR14793412
SAMN19678194,srr,SRR14793411
SAMN19678195,srr,SRR14793410
SAMN19678196,srr,SRR14793408
SAMN19678197,srr,SRR14793407
SAMN43438091,srr,SRR30534049
SAMN43438092,srr,SRR30534048
SAMN43438094,srr,SRR30534046
SAMN43438095,srr,SRR30534045
SAMN43438096,srr,SRR30534044
SAMN55383022,srr,SRR37248904
SAMN55383022,srr,SRR37248903
SAMN55383031,srr,SRR37249223
SAMN55383031,srr,SRR37249222
SAMN55383032,srr,SRR37249221
SAMN55383032,srr,SRR37249220
SAMN55383037,srr,SRR37249210
SAMN55383037,srr,SRR37249209
SAMN55383039,srr,SRR37249207
SAMN55383042,srr,SRR37249203
SAMN55383042,srr,SRR37249201
SAMN55383043,srr,SRR37249107
SAMN55383043,srr,SRR37249106
SAMN55383044,srr,SRR37249105
SAMN55383044,srr,SRR37249104
SAMN55383046,srr,SRR37249101
SAMN55383046,srr,SRR37249098
SAMN55383075,srr,SRR37248892
SAMN55383075,srr,SRR37248891
SAMN55383117,srr,SRR37249053
