sample_id,input_type,input
SAMN39984924,srr,SRR28065797
SAMN39984925,srr,SRR28065796
SAMN39984926,srr,SRR28065849
SAMN39984927,srr,SRR28065847
SAMN39984928,srr,SRR28065846
SAMN39984929,srr,SRR28065845
SAMN39984930,srr,SRR28065844
SAMN39984931,srr,SRR28065843
SAMN39984932,srr,SRR28065842
SAMN39984933,srr,SRR28065841
SAMN39984934,srr,SRR28065839
SAMN39984935,srr,SRR28065838
SAMN39984936,srr,SRR28065837
SAMN39984937,srr,SRR28065836
SAMN39984938,srr,SRR28065835
SAMN39984939,srr,SRR28065834
SAMN39984940,srr,SRR28065833
SAMN39984941,srr,SRR28065832
SAMN39984942,srr,SRR28065831
SAMN39984943,srr,SRR28065830
SAMN39984944,srr,SRR28065828
SAMN39984945,srr,SRR28065827
SAMN39984946,srr,SRR28065826
SAMN39984947,srr,SRR28065825
SAMN41115022,srr,SRR29008673
SAMN41115023,srr,SRR29008672
SAMN41115024,srr,SRR29008671
SAMN41115025,srr,SRR29008669
SAMN41115026,srr,SRR29008668
SAMN41115027,srr,SRR29008667
SAMN41115028,srr,SRR29008666
SAMN41115030,srr,SRR29008664
