sample_id,input_type,input
SAMD00156790,srr,DRR191146
SAMEA117070483,srr,ERR16057210
SAMEA117070484,srr,ERR16057193
SAMEA117070485,srr,ERR16057218
SAMEA117070486,srr,ERR16057219
SAMEA117070487,srr,ERR16057211
SAMEA117070488,srr,ERR16057212
SAMEA117070489,srr,ERR16057213
SAMEA117070490,srr,ERR16057214
SAMEA117070491,srr,ERR16057215
SAMEA117070492,srr,ERR16057216
SAMEA117070493,srr,ERR16057217
SAMEA117070494,srr,ERR16057192
SAMEA117070495,srr,ERR16057220
SAMEA117070496,srr,ERR16057163
SAMEA117070497,srr,ERR16057164
SAMEA117070498,srr,ERR16057165
SAMEA117070499,srr,ERR16057194
SAMEA117070500,srr,ERR16057221
SAMEA117070501,srr,ERR16057222
SAMEA117070502,srr,ERR16057223
SAMEA117070503,srr,ERR16057160
SAMEA117070504,srr,ERR16057161
SAMEA117070505,srr,ERR16057162
SAMEA117070506,srr,ERR16057195
SAMEA117070507,srr,ERR16057166
SAMEA117070508,srr,ERR16057174
SAMEA117070509,srr,ERR16057175
SAMEA117070510,srr,ERR16057176
SAMEA117070511,srr,ERR16057167
SAMEA117070512,srr,ERR16057168
SAMEA117070513,srr,ERR16057169
SAMEA117070514,srr,ERR16057196
SAMEA117070515,srr,ERR16057170
SAMEA117070516,srr,ERR16057171
SAMEA117070517,srr,ERR16057172
SAMEA117070518,srr,ERR16057173
SAMEA117070519,srr,ERR16057197
SAMEA117070520,srr,ERR16057181
SAMEA117070521,srr,ERR16057182
SAMEA117070522,srr,ERR16057183
SAMEA117070523,srr,ERR16057198
SAMEA117070525,srr,ERR16057177
SAMEA117070527,srr,ERR16057178
SAMEA117070528,srr,ERR16057179
SAMEA117070529,srr,ERR16057180
SAMEA117070530,srr,ERR16057200
SAMEA117070531,srr,ERR16057201
SAMEA117070532,srr,ERR16057204
SAMEA117070533,srr,ERR16057189
SAMEA117070534,srr,ERR16057205
SAMEA117070535,srr,ERR16057184
SAMEA117070536,srr,ERR16057185
SAMEA117070537,srr,ERR16057186
SAMEA117070538,srr,ERR16057202
SAMEA117070539,srr,ERR16057187
SAMEA117070540,srr,ERR16057203
SAMEA117070541,srr,ERR16057253
SAMEA117070542,srr,ERR16057188
SAMEA117070543,srr,ERR16057206
SAMEA117070544,srr,ERR16057229
SAMEA117070545,srr,ERR16057230
SAMEA117070546,srr,ERR16057231
SAMEA117070547,srr,ERR16057190
SAMEA117070548,srr,ERR16057191
SAMEA117070549,srr,ERR16057224
SAMEA117070551,srr,ERR16057225
SAMEA117070552,srr,ERR16057226
SAMEA117070553,srr,ERR16057227
SAMEA117070554,srr,ERR16057228
SAMEA117070555,srr,ERR16057232
SAMEA117070556,srr,ERR16057241
SAMEA117070557,srr,ERR16057207
SAMEA117070558,srr,ERR16057242
SAMEA117070559,srr,ERR16057233
SAMEA117070560,srr,ERR16057234
SAMEA117070561,srr,ERR16057235
SAMEA117070562,srr,ERR16057236
SAMEA117070563,srr,ERR16057237
SAMEA117070564,srr,ERR16057238
SAMEA117070565,srr,ERR16057239
SAMEA117070566,srr,ERR16057240
SAMEA117070567,srr,ERR16057243
SAMEA117070568,srr,ERR16057208
SAMEA117070569,srr,ERR16057252
SAMEA117070570,srr,ERR16057209
SAMEA117070571,srr,ERR16057244
SAMEA117070572,srr,ERR16057245
SAMEA117070573,srr,ERR16057246
SAMEA117070574,srr,ERR16057247
SAMEA117070575,srr,ERR16057248
SAMEA117070576,srr,ERR16057249
SAMEA117070577,srr,ERR16057250
SAMEA117070578,srr,ERR16057251
SAMN02333670,srr,SRR956892
SAMN02333670,srr,SRR956891
SAMN08398476,srr,SRR6650836
