sample_id,input_type,input
SAMN12253817,srr,SRR9947064
SAMN12253817,srr,SRR9947063
SAMN12253817,srr,SRR9946693
SAMN14675488,srr,SRR22566725
SAMN14675488,srr,SRR25726874
SAMN18196739,srr,SRR14127758
SAMN18196781,srr,SRR14131108
SAMN43946367,srr,SRR30812515
SAMN43946368,srr,SRR30812514
SAMN43946369,srr,SRR30812503
SAMN43946370,srr,SRR30812492
SAMN43946371,srr,SRR30812489
SAMN43946372,srr,SRR30812488
SAMN43946373,srr,SRR30812487
SAMN43946374,srr,SRR30812486
SAMN43946375,srr,SRR30812485
SAMN43946376,srr,SRR30812484
SAMN43946377,srr,SRR30812513
SAMN43946378,srr,SRR30812512
SAMN43946379,srr,SRR30812511
SAMN43946380,srr,SRR30812510
SAMN43946381,srr,SRR30812509
SAMN43946382,srr,SRR30812508
SAMN43946383,srr,SRR30812507
SAMN43946384,srr,SRR30812506
SAMN43946385,srr,SRR30812505
SAMN43946386,srr,SRR30812504
SAMN43946387,srr,SRR30812502
SAMN43946388,srr,SRR30812501
SAMN43946389,srr,SRR30812500
SAMN43946390,srr,SRR30812499
SAMN43946391,srr,SRR30812498
SAMN43946392,srr,SRR30812497
SAMN43946393,srr,SRR30812496
SAMN43946394,srr,SRR30812495
SAMN43946395,srr,SRR30812494
SAMN43946396,srr,SRR30812493
SAMN43946397,srr,SRR30812491
SAMN43946398,srr,SRR30812490
SAMN43946399,srr,SRR30816380
SAMN43946400,srr,SRR30816379
SAMN43946401,srr,SRR30816368
SAMN43946402,srr,SRR30816357
SAMN43946403,srr,SRR30816350
SAMN43946404,srr,SRR30816349
SAMN43946405,srr,SRR30816348
SAMN43946406,srr,SRR30816347
SAMN43946407,srr,SRR30816346
SAMN43946408,srr,SRR30816345
SAMN43946409,srr,SRR30816378
SAMN43946410,srr,SRR30816377
SAMN43946411,srr,SRR30816376
SAMN43946412,srr,SRR30816375
SAMN43946413,srr,SRR30816374
SAMN43946414,srr,SRR30816373
SAMN43946415,srr,SRR30816372
SAMN43946416,srr,SRR30816371
SAMN43946417,srr,SRR30816370
SAMN43946418,srr,SRR30816369
SAMN43946420,srr,SRR30816366
SAMN43946421,srr,SRR30816365
SAMN43946422,srr,SRR30816364
SAMN43946423,srr,SRR30816363
SAMN43946424,srr,SRR30816362
SAMN43946425,srr,SRR30816361
SAMN43946426,srr,SRR30816360
SAMN43946427,srr,SRR30816359
SAMN43946428,srr,SRR30816358
SAMN43946429,srr,SRR30816356
SAMN43946430,srr,SRR30816355
SAMN43946431,srr,SRR30816354
SAMN43946432,srr,SRR30816353
SAMN43946433,srr,SRR30816352
SAMN43946434,srr,SRR30816351
SAMN43946435,srr,SRR30823038
SAMN43946436,srr,SRR30823037
SAMN43946437,srr,SRR30823026
SAMN43946438,srr,SRR30823015
SAMN43946439,srr,SRR30823008
SAMN43946440,srr,SRR30823007
SAMN43946441,srr,SRR30823006
SAMN43946443,srr,SRR30823004
SAMN43946444,srr,SRR30823003
SAMN43946445,srr,SRR30823036
SAMN43946446,srr,SRR30823035
SAMN43946447,srr,SRR30823034
SAMN43946448,srr,SRR30823033
SAMN43946449,srr,SRR30823032
SAMN43946450,srr,SRR30823031
SAMN43946451,srr,SRR30823030
SAMN43946452,srr,SRR30823029
SAMN43946453,srr,SRR30823028
SAMN43946454,srr,SRR30823027
SAMN43946455,srr,SRR30823025
SAMN43946456,srr,SRR30823024
SAMN43946457,srr,SRR30823023
SAMN43946458,srr,SRR30823022
SAMN43946459,srr,SRR30823021
SAMN43946460,srr,SRR30823020
SAMN43946461,srr,SRR30823019
SAMN43946462,srr,SRR30823018
SAMN43946463,srr,SRR30823017
SAMN43946464,srr,SRR30823016
SAMN43946465,srr,SRR30823014
SAMN43946466,srr,SRR30823013
SAMN43946467,srr,SRR30823012
SAMN43946468,srr,SRR30823011
SAMN43946469,srr,SRR30823010
SAMN43946470,srr,SRR30823009
SAMN43946471,srr,SRR30831692
SAMN43946472,srr,SRR30831691
SAMN43946473,srr,SRR30831680
SAMN43946475,srr,SRR30831662
SAMN43946476,srr,SRR30831661
SAMN43946477,srr,SRR30831660
SAMN43946478,srr,SRR30831659
SAMN43946479,srr,SRR30831658
SAMN43946480,srr,SRR30831657
SAMN43946481,srr,SRR30831690
SAMN43946483,srr,SRR30831688
SAMN43946484,srr,SRR30831687
SAMN43946486,srr,SRR30831685
SAMN43946487,srr,SRR30831684
SAMN43946488,srr,SRR30831683
SAMN43946489,srr,SRR30831682
SAMN43946490,srr,SRR30831681
SAMN43946492,srr,SRR30831678
SAMN43946493,srr,SRR30831677
SAMN43946494,srr,SRR30831676
SAMN43946495,srr,SRR30831675
SAMN43946496,srr,SRR30831674
SAMN43946497,srr,SRR30831673
SAMN43946501,srr,SRR30831668
SAMN43946502,srr,SRR30831667
SAMN43946505,srr,SRR30831664
SAMN43946506,srr,SRR30831663
SAMN43946507,srr,SRR30831587
SAMN43946517,srr,SRR30831585
SAMN43946519,srr,SRR30831583
SAMN43946520,srr,SRR30831582
SAMN43946521,srr,SRR30831581
SAMN43946523,srr,SRR30831579
SAMN43946524,srr,SRR30831578
SAMN43946527,srr,SRR30831574
SAMN43946528,srr,SRR30831573
SAMN43946529,srr,SRR30831572
SAMN43946530,srr,SRR30831571
SAMN43946531,srr,SRR30831570
SAMN43946532,srr,SRR30831569
SAMN43946533,srr,SRR30831568
SAMN43946534,srr,SRR30831567
SAMN43946541,srr,SRR30831559
