sample_id,input_type,input
SAMEA4785080,srr,ERR2697464
SAMEA4785081,srr,ERR2697465
SAMEA4785082,srr,ERR2697466
SAMEA4785083,srr,ERR2697467
SAMEA4785084,srr,ERR2697468
SAMEA4785085,srr,ERR2697469
SAMEA4785087,srr,ERR2697471
SAMEA4785088,srr,ERR2697472
SAMEA4785089,srr,ERR2697473
SAMEA4785093,srr,ERR2697477
SAMEA4785095,srr,ERR2697479
SAMEA4785098,srr,ERR2697482
SAMEA4785101,srr,ERR2697485
SAMEA4785111,srr,ERR2697495
SAMEA4785112,srr,ERR2697496
SAMEA4785113,srr,ERR2697497
SAMEA4785114,srr,ERR2697498
SAMEA4785115,srr,ERR2697499
SAMEA4785119,srr,ERR2697503
SAMEA4785120,srr,ERR2697504
SAMN02929199,srr,SRR5407744
SAMN02929199,srr,SRR5407747
SAMN06619692,srr,SRR5369966
SAMN06619693,srr,SRR5369965
SAMN06619695,srr,SRR5369963
SAMN06619696,srr,SRR5369962
SAMN06619700,srr,SRR5369958
SAMN06619701,srr,SRR5369957
