sample_id,input_type,input
SAMN12253993,srr,SRR9853729
SAMN31432627,srr,SRR22028934
SAMN31432628,srr,SRR22028933
SAMN31432629,srr,SRR22028932
SAMN31432630,srr,SRR22028931
SAMN31432703,srr,SRR22029044
SAMN31432705,srr,SRR22029042
SAMN31432706,srr,SRR22029041
SAMN31432707,srr,SRR22029040
SAMN31432708,srr,SRR22029039
SAMN31432709,srr,SRR22029038
SAMN31432710,srr,SRR22029036
SAMN31432711,srr,SRR22029035
SAMN31432712,srr,SRR22029034
SAMN31432713,srr,SRR22029033
SAMN31432714,srr,SRR22029032
SAMN31432715,srr,SRR22029031
SAMN31432716,srr,SRR22029026
SAMN31432717,srr,SRR22029025
SAMN31432718,srr,SRR22029024
SAMN31432719,srr,SRR22029027
SAMN31432720,srr,SRR22029090
SAMN31432721,srr,SRR22029089
SAMN31432722,srr,SRR22029088
SAMN31432723,srr,SRR22029087
SAMN31432724,srr,SRR22029086
SAMN31432725,srr,SRR22029085
SAMN31432726,srr,SRR22029084
SAMN31432727,srr,SRR22029083
SAMN31432728,srr,SRR22029082
SAMN31432729,srr,SRR22029081
SAMN31432730,srr,SRR22029079
SAMN31432733,srr,SRR22029076
SAMN31432734,srr,SRR22029075
SAMN31432735,srr,SRR22029074
