sample_id,input_type,input
SAMN15098508,srr,SRR25748939
SAMN35984648,srr,SRR25101177
SAMN35984735,srr,SRR25101130
SAMN35984736,srr,SRR25101129
SAMN35984767,srr,SRR25101268
SAMN35984768,srr,SRR25101266
SAMN35984769,srr,SRR25101264
SAMN35984770,srr,SRR25101262
SAMN35984772,srr,SRR25101258
SAMN35984779,srr,SRR25101242
SAMN35984780,srr,SRR25101240
SAMN47449872,srr,SRR32849563
SAMN47555414,srr,SRR32849567
SAMN47555415,srr,SRR32849556
SAMN47555420,srr,SRR32849544
SAMN47555421,srr,SRR32849543
SAMN47555422,srr,SRR32849542
SAMN47555426,srr,SRR32849562
SAMN47555428,srr,SRR32849560
SAMN47555433,srr,SRR32849554
SAMN47555438,srr,SRR32849549
