sample_id,input_type,input
SAMN04029017,srr,SRR2240703
SAMN04029017,srr,SRR2240704
SAMN04029017,srr,SRR2240705
SAMN04029017,srr,SRR2240707
SAMN04029017,srr,SRR2240708
SAMN04029017,srr,SRR2240709
SAMN04029017,srr,SRR2240710
SAMN04029017,srr,SRR2240712
SAMN04029017,srr,SRR2240747
SAMN04197005,srr,SRR2741664
SAMN04197009,srr,SRR2741669
SAMN04197010,srr,SRR2741670
SAMN04197011,srr,SRR2741673
SAMN04197012,srr,SRR2741675
SAMN04197013,srr,SRR2741678
SAMN04197014,srr,SRR2741680
SAMN04197015,srr,SRR2741682
SAMN04197016,srr,SRR2742048
SAMN04197017,srr,SRR2742156
SAMN04197018,srr,SRR2742256
SAMN04197019,srr,SRR2742257
SAMN04197020,srr,SRR2742255
SAMN04197021,srr,SRR2741897
SAMN04197022,srr,SRR2741681
SAMN04197023,srr,SRR2741679
SAMN04197024,srr,SRR2741677
SAMN04197025,srr,SRR2741674
SAMN04197026,srr,SRR2741676
SAMN04197027,srr,SRR2741672
SAMN04197028,srr,SRR2741671
SAMN18145494,srr,SRR13921898
SAMN33331017,srr,SRR23502978
SAMN33331018,srr,SRR23502977
SAMN33331019,srr,SRR23502966
SAMN33331020,srr,SRR23502960
SAMN33331021,srr,SRR23502959
SAMN33331022,srr,SRR23502958
SAMN33331023,srr,SRR23502957
SAMN33331024,srr,SRR23502956
SAMN33331025,srr,SRR23502955
SAMN33331026,srr,SRR23502954
SAMN33331027,srr,SRR23502976
SAMN33331028,srr,SRR23502975
SAMN33331029,srr,SRR23502974
SAMN33331030,srr,SRR23502973
SAMN33331031,srr,SRR23502972
SAMN33331032,srr,SRR23502971
SAMN33331033,srr,SRR23502970
SAMN33331034,srr,SRR23502969
SAMN33331035,srr,SRR23502968
SAMN33331036,srr,SRR23502967
SAMN33331037,srr,SRR23502965
SAMN33331038,srr,SRR23502964
SAMN33331039,srr,SRR23502963
SAMN33331040,srr,SRR23502962
SAMN33331041,srr,SRR23502961
SAMN33443906,srr,SRR23620012
SAMN33443907,srr,SRR23620011
SAMN33443908,srr,SRR23620000
SAMN33443909,srr,SRR23619995
SAMN33443910,srr,SRR23619994
SAMN33443911,srr,SRR23619993
SAMN33443912,srr,SRR23619992
SAMN33443913,srr,SRR23619991
SAMN33443914,srr,SRR23619990
SAMN33443915,srr,SRR23619989
SAMN33443916,srr,SRR23620010
SAMN33443917,srr,SRR23620009
SAMN33443918,srr,SRR23620008
SAMN33443919,srr,SRR23620007
SAMN33443920,srr,SRR23620006
SAMN33443921,srr,SRR23620005
SAMN33443922,srr,SRR23620004
SAMN33443923,srr,SRR23620003
SAMN33443924,srr,SRR23620002
SAMN33443925,srr,SRR23620001
SAMN33443926,srr,SRR23619999
SAMN33443927,srr,SRR23619998
SAMN33443928,srr,SRR23619997
SAMN33443929,srr,SRR23619996
SAMN43910173,srr,SRR30801737
SAMN43910174,srr,SRR30801736
SAMN43910177,srr,SRR30801735
SAMN43910178,srr,SRR30801734
SAMN43910179,srr,SRR30801733
SAMN43910180,srr,SRR30801732
