sample_id,input_type,input
SAMEA3532852,srr,ERR1013156
SAMEA3532853,srr,ERR1013157
SAMEA3532854,srr,ERR1013158
SAMEA3532855,srr,ERR1013159
SAMEA3532856,srr,ERR1013160
SAMEA3532857,srr,ERR1013161
SAMEA3532858,srr,ERR1013162
SAMEA3532859,srr,ERR1013163
SAMEA3532860,srr,ERR1013164
SAMEA3532861,srr,ERR1013165
SAMEA3532862,srr,ERR1013166
SAMEA3532863,srr,ERR1013167
SAMEA3532864,srr,ERR1013168
SAMEA3532865,srr,ERR1013169
SAMEA3532866,srr,ERR1013170
SAMEA3532867,srr,ERR1013171
SAMEA3532868,srr,ERR1013172
SAMEA3532869,srr,ERR1013173
SAMEA3532870,srr,ERR1013174
SAMEA3532871,srr,ERR1013175
SAMEA3532872,srr,ERR1013176
SAMEA3532873,srr,ERR1013177
SAMEA3532874,srr,ERR1013178
SAMEA3532875,srr,ERR1013179
SAMEA4393856,srr,ERR1596901
SAMN09946140,srr,SRR25741344
SAMN09946140,srr,SRR25741329
SAMN09946140,srr,SRR25741343
SAMN09946140,srr,SRR25741346
SAMN09946140,srr,SRR25741368
SAMN09946140,srr,SRR25741330
SAMN09946140,srr,SRR25741331
SAMN09946140,srr,SRR25741357
SAMN12226495,srr,SRR9671226
SAMN12226496,srr,SRR9671225
SAMN12226497,srr,SRR9671224
SAMN12226498,srr,SRR9671223
SAMN12226503,srr,SRR9671216
SAMN12226503,srr,SRR9671215
SAMN12226503,srr,SRR9671218
SAMN12226503,srr,SRR9671227
SAMN12226503,srr,SRR9671228
SAMN12226504,srr,SRR9671211
SAMN12226504,srr,SRR9671213
SAMN12226504,srr,SRR9671214
SAMN12226504,srr,SRR9671212
SAMN12226504,srr,SRR9671217
SAMN17709036,srr,SRR13588067
SAMN17709036,srr,SRR13588068
SAMN17709036,srr,SRR13588069
SAMN17709037,srr,SRR13588070
SAMN17709038,srr,SRR13588066
SAMN17709039,srr,SRR13588065
SAMN19981799,srr,SRR15012143
SAMN19981800,srr,SRR15012142
SAMN19981801,srr,SRR15012131
SAMN19981802,srr,SRR15012120
SAMN19981803,srr,SRR15012112
SAMN19981804,srr,SRR15012111
SAMN19981805,srr,SRR15012110
SAMN19981806,srr,SRR15012109
SAMN19981807,srr,SRR15012108
SAMN19981808,srr,SRR15012107
SAMN19981809,srr,SRR15012141
SAMN19981810,srr,SRR15012140
SAMN19981811,srr,SRR15012139
SAMN19981812,srr,SRR15012138
SAMN19981813,srr,SRR15012137
SAMN19981814,srr,SRR15012136
SAMN19981815,srr,SRR15012135
SAMN19981816,srr,SRR15012134
SAMN19981817,srr,SRR15012133
SAMN19981818,srr,SRR15012132
SAMN19981819,srr,SRR15012130
SAMN19981820,srr,SRR15012129
SAMN19981821,srr,SRR15012128
SAMN19981822,srr,SRR15012127
SAMN19981823,srr,SRR15012126
SAMN19981824,srr,SRR15012125
SAMN19981825,srr,SRR15012124
SAMN19981826,srr,SRR15012123
SAMN19981827,srr,SRR15012122
SAMN19981828,srr,SRR15012121
SAMN19981829,srr,SRR15012119
SAMN19981830,srr,SRR15012118
SAMN19981831,srr,SRR15012117
SAMN19981832,srr,SRR15012116
SAMN19981833,srr,SRR15012115
SAMN19981834,srr,SRR15012114
SAMN19981835,srr,SRR15012113
SAMN22504444,srr,SRR16569041
SAMN22504445,srr,SRR16569040
SAMN22504446,srr,SRR16569070
SAMN22504447,srr,SRR16569059
SAMN22504448,srr,SRR16569048
SAMN22504449,srr,SRR16569046
SAMN22504450,srr,SRR16569045
SAMN22504451,srr,SRR16569044
SAMN22504452,srr,SRR16569043
SAMN22504453,srr,SRR16569042
SAMN22504454,srr,SRR16569039
SAMN22504455,srr,SRR16569038
SAMN22504456,srr,SRR16569078
SAMN22504457,srr,SRR16569077
SAMN22504458,srr,SRR16569076
SAMN22504459,srr,SRR16569075
SAMN22504460,srr,SRR16569074
SAMN22504461,srr,SRR16569073
SAMN22504462,srr,SRR16569072
SAMN22504463,srr,SRR16569071
SAMN22504464,srr,SRR16569069
SAMN22504465,srr,SRR16569068
SAMN22504466,srr,SRR16569067
SAMN22504467,srr,SRR16569066
SAMN22504468,srr,SRR16569065
SAMN22504469,srr,SRR16569064
SAMN22504470,srr,SRR16569063
SAMN22504471,srr,SRR16569062
SAMN22504472,srr,SRR16569061
SAMN22504473,srr,SRR16569060
SAMN22504474,srr,SRR16569058
SAMN22504475,srr,SRR16569057
SAMN22504476,srr,SRR16569056
SAMN22504477,srr,SRR16569055
SAMN22504478,srr,SRR16569054
SAMN22504479,srr,SRR16569053
SAMN22504480,srr,SRR16569052
SAMN22504481,srr,SRR16569051
SAMN22504482,srr,SRR16569050
SAMN22504483,srr,SRR16569049
SAMN22504484,srr,SRR16569047
SAMN34510802,srr,SRR24425200
SAMN34510803,srr,SRR24425199
SAMN34510804,srr,SRR24425198
SAMN39263986,srr,SRR27431530
SAMN40258605,srr,SRR28223503
SAMN40258606,srr,SRR28223502
SAMN40258607,srr,SRR28223491
SAMN40258608,srr,SRR28223490
SAMN40258609,srr,SRR28223489
SAMN40258610,srr,SRR28223488
SAMN40258611,srr,SRR28223487
SAMN40258612,srr,SRR28223486
SAMN40258613,srr,SRR28223485
SAMN40258614,srr,SRR28223484
SAMN40258615,srr,SRR28223501
SAMN40258616,srr,SRR28223500
SAMN40258617,srr,SRR28223499
SAMN40258618,srr,SRR28223498
SAMN40258619,srr,SRR28223497
SAMN40258620,srr,SRR28223496
SAMN40258621,srr,SRR28223495
SAMN40258622,srr,SRR28223494
SAMN40258623,srr,SRR28223493
SAMN40258624,srr,SRR28223492
SAMN43379727,srr,SRR30414089
SAMN43379728,srr,SRR30414088
SAMN43379729,srr,SRR30414077
SAMN43379730,srr,SRR30414066
SAMN43379731,srr,SRR30414055
SAMN43379732,srr,SRR30414044
SAMN43379733,srr,SRR30414033
SAMN43379734,srr,SRR30414022
SAMN43379735,srr,SRR30414017
SAMN43379736,srr,SRR30414016
SAMN43379737,srr,SRR30414087
SAMN43379738,srr,SRR30414086
SAMN43379739,srr,SRR30414085
SAMN43379740,srr,SRR30414084
SAMN43379741,srr,SRR30414083
SAMN43379742,srr,SRR30414082
SAMN43379743,srr,SRR30414081
SAMN43379744,srr,SRR30414080
SAMN43379745,srr,SRR30414079
SAMN43379746,srr,SRR30414078
SAMN43379747,srr,SRR30414076
SAMN43379748,srr,SRR30414075
SAMN43379749,srr,SRR30414074
SAMN43379750,srr,SRR30414073
SAMN43379751,srr,SRR30414072
SAMN43379752,srr,SRR30414071
SAMN43379753,srr,SRR30414070
SAMN43379754,srr,SRR30414069
SAMN43379755,srr,SRR30414068
SAMN43379756,srr,SRR30414067
SAMN43379757,srr,SRR30414065
SAMN43379758,srr,SRR30414064
SAMN43379759,srr,SRR30414063
SAMN43379760,srr,SRR30414062
SAMN43379761,srr,SRR30414061
SAMN43379762,srr,SRR30414060
SAMN43379763,srr,SRR30414059
SAMN43379764,srr,SRR30414058
SAMN43379765,srr,SRR30414057
SAMN43379766,srr,SRR30414056
SAMN43379767,srr,SRR30414054
SAMN43379768,srr,SRR30414053
SAMN43379769,srr,SRR30414052
SAMN43379770,srr,SRR30414051
SAMN43379771,srr,SRR30414050
SAMN43379772,srr,SRR30414049
SAMN43379773,srr,SRR30414048
SAMN43379774,srr,SRR30414047
SAMN43379775,srr,SRR30414046
SAMN43379776,srr,SRR30414045
SAMN43379777,srr,SRR30414043
SAMN43379778,srr,SRR30414042
SAMN43379779,srr,SRR30414041
SAMN43379780,srr,SRR30414040
SAMN43379781,srr,SRR30414039
SAMN43379782,srr,SRR30414038
SAMN43379783,srr,SRR30414037
SAMN43379784,srr,SRR30414036
SAMN43379785,srr,SRR30414035
SAMN43379786,srr,SRR30414034
SAMN43379787,srr,SRR30414032
SAMN43379788,srr,SRR30414031
SAMN43379789,srr,SRR30414030
SAMN43379790,srr,SRR30414029
SAMN43379791,srr,SRR30414028
SAMN43379792,srr,SRR30414027
SAMN43379793,srr,SRR30414026
SAMN43379794,srr,SRR30414025
SAMN43379795,srr,SRR30414024
SAMN43379796,srr,SRR30414023
SAMN43379797,srr,SRR30414021
SAMN43379798,srr,SRR30414020
SAMN43379799,srr,SRR30414019
SAMN43379800,srr,SRR30414018
SAMN47142318,srr,SRR32848965
SAMN47142332,srr,SRR32841777
SAMN47142333,srr,SRR32841778
