sample_id,input_type,input
SAMEA111437128,srr,ERR14184260
SAMEA111437129,srr,ERR14184261
SAMEA111437130,srr,ERR14184262
SAMEA111437131,srr,ERR14184263
SAMEA111437132,srr,ERR14184264
SAMEA111437133,srr,ERR14184265
SAMEA111437134,srr,ERR14184266
SAMEA111437135,srr,ERR14184267
SAMEA111437136,srr,ERR14184268
SAMEA111437137,srr,ERR14184269
SAMEA111437139,srr,ERR14184270
SAMEA111437140,srr,ERR14184271
SAMEA111437141,srr,ERR14184272
SAMEA111437142,srr,ERR14184273
SAMEA111437143,srr,ERR14184274
