sample_id,input_type,input
SAMN15589920,srr,SRR12301620
SAMN17188822,srr,SRR13334792
SAMN42898516,srr,SRR30031144
SAMN42898517,srr,SRR30031132
SAMN42898518,srr,SRR30031126
SAMN42898519,srr,SRR30031142
SAMN42898520,srr,SRR30031143
SAMN42898521,srr,SRR30031127
SAMN42898522,srr,SRR30031128
SAMN42898523,srr,SRR30031129
SAMN42898524,srr,SRR30031130
SAMN42898525,srr,SRR30031131
SAMN43268670,srr,SRR30308379
SAMN43268671,srr,SRR30308378
SAMN43268672,srr,SRR30308367
SAMN43268673,srr,SRR30308356
SAMN43268674,srr,SRR30308345
SAMN43268675,srr,SRR30308334
SAMN43268676,srr,SRR30308333
SAMN43268677,srr,SRR30308332
SAMN43268678,srr,SRR30308331
SAMN43268679,srr,SRR30308330
SAMN43268680,srr,SRR30308377
SAMN43268681,srr,SRR30308376
SAMN43268682,srr,SRR30308375
SAMN43268683,srr,SRR30308374
SAMN43268684,srr,SRR30308373
SAMN43268685,srr,SRR30308372
SAMN43268686,srr,SRR30308371
SAMN43268687,srr,SRR30308370
SAMN43268688,srr,SRR30308369
SAMN43268689,srr,SRR30308368
SAMN43268690,srr,SRR30308366
SAMN43268691,srr,SRR30308365
SAMN43268692,srr,SRR30308364
SAMN43268693,srr,SRR30308363
SAMN43268694,srr,SRR30308362
SAMN43268695,srr,SRR30308361
SAMN43268696,srr,SRR30308360
SAMN43268697,srr,SRR30308359
SAMN43268698,srr,SRR30308358
SAMN43268699,srr,SRR30308357
SAMN43268700,srr,SRR30308355
SAMN43268701,srr,SRR30308354
SAMN43268702,srr,SRR30308353
SAMN43268703,srr,SRR30308352
SAMN43268704,srr,SRR30308351
SAMN43268705,srr,SRR30308350
SAMN43268706,srr,SRR30308349
SAMN43268707,srr,SRR30308348
SAMN43268708,srr,SRR30308347
SAMN43268709,srr,SRR30308346
SAMN43268710,srr,SRR30308344
SAMN43268711,srr,SRR30308343
SAMN43268712,srr,SRR30308342
SAMN43268713,srr,SRR30308341
SAMN43268714,srr,SRR30308340
SAMN43268715,srr,SRR30308339
SAMN43268716,srr,SRR30308338
SAMN43268717,srr,SRR30308337
SAMN43268718,srr,SRR30308336
SAMN43268719,srr,SRR30308335
SAMN53911131,srr,SRR36427925
SAMN53911132,srr,SRR36427924
SAMN53911133,srr,SRR36427913
SAMN53911134,srr,SRR36427888
SAMN53911135,srr,SRR36427877
SAMN53911136,srr,SRR36427866
SAMN53911137,srr,SRR36427855
SAMN53911138,srr,SRR36427906
SAMN53911139,srr,SRR36427895
SAMN53911140,srr,SRR36427894
SAMN53911141,srr,SRR36427923
SAMN53911142,srr,SRR36427922
SAMN53911143,srr,SRR36427921
SAMN53911144,srr,SRR36427920
SAMN53911145,srr,SRR36427919
SAMN53911146,srr,SRR36427918
SAMN53911147,srr,SRR36427917
SAMN53911148,srr,SRR36427916
SAMN53911149,srr,SRR36427915
SAMN53911150,srr,SRR36427914
SAMN53911151,srr,SRR36427912
SAMN53911152,srr,SRR36427911
SAMN53911153,srr,SRR36427910
SAMN53911154,srr,SRR36427909
SAMN53911155,srr,SRR36427908
SAMN53911156,srr,SRR36427893
SAMN53911157,srr,SRR36427892
SAMN53911158,srr,SRR36427891
SAMN53911159,srr,SRR36427890
SAMN53911160,srr,SRR36427889
SAMN53911161,srr,SRR36427887
SAMN53911162,srr,SRR36427886
SAMN53911163,srr,SRR36427885
SAMN53911164,srr,SRR36427884
SAMN53911165,srr,SRR36427883
SAMN53911166,srr,SRR36427882
SAMN53911167,srr,SRR36427881
SAMN53911168,srr,SRR36427880
SAMN53911169,srr,SRR36427879
SAMN53911170,srr,SRR36427878
SAMN53911171,srr,SRR36427876
SAMN53911172,srr,SRR36427875
SAMN53911173,srr,SRR36427874
SAMN53911174,srr,SRR36427873
SAMN53911175,srr,SRR36427872
SAMN53911176,srr,SRR36427871
SAMN53911177,srr,SRR36427870
SAMN53911178,srr,SRR36427869
SAMN53911179,srr,SRR36427868
SAMN53911180,srr,SRR36427867
SAMN53911181,srr,SRR36427865
SAMN53911182,srr,SRR36427864
SAMN53911183,srr,SRR36427863
SAMN53911184,srr,SRR36427862
SAMN53911185,srr,SRR36427861
SAMN53911186,srr,SRR36427860
SAMN53911187,srr,SRR36427859
SAMN53911188,srr,SRR36427858
SAMN53911189,srr,SRR36427857
SAMN53911190,srr,SRR36427856
SAMN53911191,srr,SRR36427854
SAMN53911192,srr,SRR36427853
SAMN53911193,srr,SRR36427852
SAMN53911194,srr,SRR36427851
SAMN53911195,srr,SRR36427850
SAMN53911196,srr,SRR36427849
SAMN53911197,srr,SRR36427848
SAMN53911198,srr,SRR36427847
SAMN53911199,srr,SRR36427846
SAMN53911200,srr,SRR36427907
SAMN53911201,srr,SRR36427905
SAMN53911202,srr,SRR36427904
SAMN53911203,srr,SRR36427903
SAMN53911204,srr,SRR36427902
SAMN53911205,srr,SRR36427901
SAMN53911206,srr,SRR36427900
SAMN53911207,srr,SRR36427899
SAMN53911208,srr,SRR36427898
SAMN53911209,srr,SRR36427897
SAMN53911210,srr,SRR36427896
