sample_id,input_type,input
SAMN06379698,srr,SRR5278303
SAMN06379700,srr,SRR5278305
SAMN06379701,srr,SRR5278309
SAMN16988351,srr,SRR13192255
SAMN16993257,srr,SRR13197371
SAMN16993258,srr,SRR13197370
SAMN16993259,srr,SRR13197359
SAMN16993260,srr,SRR13197358
SAMN16993261,srr,SRR13197357
SAMN16993262,srr,SRR13197356
SAMN16993263,srr,SRR13197355
SAMN16993264,srr,SRR13197354
SAMN16993265,srr,SRR13197353
SAMN16993266,srr,SRR13197352
SAMN16993267,srr,SRR13197369
SAMN16993268,srr,SRR13197368
SAMN16993269,srr,SRR13197367
SAMN16993270,srr,SRR13197366
SAMN16993271,srr,SRR13197365
SAMN16993272,srr,SRR13197364
SAMN16993273,srr,SRR13197363
SAMN16993274,srr,SRR13197362
SAMN16993275,srr,SRR13197361
SAMN16993276,srr,SRR13197360
