sample_id,input_type,input
SAMEA11293697,srr,ERR11647002
SAMEA11293700,srr,ERR11647010
SAMEA11293707,srr,ERR11647008
SAMEA11293712,srr,ERR11647025
SAMEA11293713,srr,ERR11647003
SAMEA11293715,srr,ERR11647009
SAMEA11293720,srr,ERR11647022
SAMEA11293783,srr,ERR11647030
SAMEA11293784,srr,ERR11647031
SAMEA11293785,srr,ERR11647026
SAMEA11293788,srr,ERR11647029
SAMEA114705081,srr,ERR14746599
SAMEA114705082,srr,ERR14746607
SAMEA114705083,srr,ERR14746600
SAMEA114705086,srr,ERR14746602
SAMEA114705088,srr,ERR14746604
SAMEA114705103,srr,ERR14746561
SAMEA114705120,srr,ERR14746573
SAMEA114705122,srr,ERR14746575
SAMEA114705123,srr,ERR14746576
SAMEA115844141,srr,ERR14746675
SAMEA115844152,srr,ERR14746667
SAMEA115844153,srr,ERR14746672
SAMEA117806043,srr,ERR14733770
SAMEA117806044,srr,ERR14733771
SAMEA117806046,srr,ERR14733773
SAMEA117806047,srr,ERR14733774
SAMEA117806257,srr,ERR14734342
SAMEA117806258,srr,ERR14734343
SAMEA117806259,srr,ERR14733688
SAMEA117806271,srr,ERR14733700
SAMEA117806274,srr,ERR14733703
SAMEA12814437,srr,ERR11470587
SAMEA12814442,srr,ERR11470592
SAMEA12814443,srr,ERR11470593
SAMEA1904326,srr,ERR295127
SAMEA1904326,srr,ERR299210
SAMEA1904326,srr,ERR299201
SAMEA2661295,srr,ERR715529
SAMEA2661383,srr,ERR715532
SAMEA2661384,srr,ERR715533
SAMEA2661389,srr,ERR715538
SAMEA2661390,srr,ERR715539
SAMEA3388877,srr,ERR1081387
SAMEA3388878,srr,ERR1081388
SAMEA4828364,srr,ERR3566938
SAMEA4828371,srr,ERR3584737
SAMEA4828372,srr,ERR3584738
SAMEA4828374,srr,ERR3584652
SAMEA4828379,srr,ERR3584657
SAMEA4828385,srr,ERR3566941
SAMEA4828390,srr,ERR3566946
SAMEA4828391,srr,ERR3566947
SAMEA4828397,srr,ERR3566952
SAMEA4828402,srr,ERR3584741
SAMEA4828406,srr,ERR3584747
SAMEA4828407,srr,ERR3566955
SAMEA4828408,srr,ERR3566956
SAMEA4828410,srr,ERR3566958
SAMEA4828414,srr,ERR3566962
SAMEA4828415,srr,ERR3584788
SAMEA4828417,srr,ERR3584790
SAMEA4828419,srr,ERR3584792
SAMEA4828421,srr,ERR3584794
SAMEA4828422,srr,ERR3584795
SAMEA4828423,srr,ERR3566963
SAMEA4828430,srr,ERR3584746
SAMEA4828432,srr,ERR3566970
SAMEA4828435,srr,ERR3584750
SAMEA4828436,srr,ERR3584751
SAMEA4828438,srr,ERR3584753
SAMEA4828439,srr,ERR3584754
SAMEA4828445,srr,ERR3584672
SAMEA4828455,srr,ERR3584682
SAMEA4828462,srr,ERR3566982
SAMEA4828463,srr,ERR3566983
SAMEA4828467,srr,ERR3566987
SAMEA4828473,srr,ERR3566993
SAMEA4828474,srr,ERR3566994
SAMEA4828475,srr,ERR3566995
SAMEA4828483,srr,ERR3567002
SAMEA4828484,srr,ERR3584796
SAMEA4828485,srr,ERR3584797
SAMEA4828487,srr,ERR3584799
SAMEA4828492,srr,ERR3584802
SAMEA4828498,srr,ERR3567007
SAMEA4828500,srr,ERR3567008
SAMEA4828501,srr,ERR3567009
SAMEA4828502,srr,ERR3567010
SAMEA4828505,srr,ERR3567013
SAMEA4828511,srr,ERR3567018
SAMEA4828512,srr,ERR3584660
SAMEA4828513,srr,ERR3584661
SAMEA4828520,srr,ERR3584667
SAMEA4828531,srr,ERR3567021
SAMEA4828532,srr,ERR3567022
SAMEA4828538,srr,ERR3567028
SAMEA4828540,srr,ERR3567030
SAMEA4828544,srr,ERR3567034
SAMEA4828550,srr,ERR3567040
SAMEA4828552,srr,ERR3567042
SAMEA4828556,srr,ERR3584687
SAMEA4828559,srr,ERR3584690
SAMEA4828560,srr,ERR3584691
SAMEA4828562,srr,ERR3584693
SAMEA4828563,srr,ERR3584694
SAMEA4828564,srr,ERR3584695
SAMEA4828567,srr,ERR3584698
SAMEA4828569,srr,ERR3566971
SAMEA4828572,srr,ERR3566974
SAMEA4828573,srr,ERR3566975
SAMEA4828574,srr,ERR3566976
SAMEA4828576,srr,ERR3566978
SAMEA4828579,srr,ERR3584757
SAMEA4828580,srr,ERR3584758
SAMEA4828585,srr,ERR3584763
SAMEA4828586,srr,ERR3584764
SAMEA4828588,srr,ERR3584766
SAMEA4828592,srr,ERR3584769
SAMEA4828596,srr,ERR3584773
SAMEA4828597,srr,ERR3584774
SAMEA4828598,srr,ERR3584775
SAMEA4828600,srr,ERR3584777
SAMEA4828602,srr,ERR3584779
SAMEA4828603,srr,ERR3566979
SAMEA4828604,srr,ERR3584596
SAMEA4828607,srr,ERR3584606
SAMEA4828608,srr,ERR3584609
SAMEA4828615,srr,ERR3584618
