sample_id,input_type,input
SAMEA115844138,srr,ERR14746649
SAMEA115844139,srr,ERR14746655
SAMEA115844140,srr,ERR14746661
SAMEA115844149,srr,ERR14746650
SAMEA115844150,srr,ERR14746677
SAMEA115844151,srr,ERR14746681
SAMEA115844160,srr,ERR14746651
SAMEA115844161,srr,ERR14746656
SAMEA115844162,srr,ERR14746662
SAMEA115844171,srr,ERR14746652
SAMEA115844172,srr,ERR14746674
SAMEA115844173,srr,ERR14746663
SAMEA115844183,srr,ERR14746682
SAMEA115844184,srr,ERR14746657
SAMEA115844185,srr,ERR14746664
SAMEA115844195,srr,ERR14746673
SAMEA115844196,srr,ERR14746658
SAMEA115844197,srr,ERR14746676
SAMEA115844207,srr,ERR14746653
SAMEA115844208,srr,ERR14746659
SAMEA115844209,srr,ERR14746665
SAMEA115844219,srr,ERR14746654
SAMEA115844220,srr,ERR14746660
SAMEA115844221,srr,ERR14746666
SAMEA117805487,srr,ERR14734160
SAMEA117805547,srr,ERR14734153
SAMEA117805548,srr,ERR14734154
SAMEA117806099,srr,ERR14734122
SAMEA117806133,srr,ERR14733833
SAMEA1877489,srr,ERR266506
SAMEA1877489,srr,ERR271667
SAMEA1877489,srr,ERR271675
SAMEA1920096,srr,ERR303408
SAMEA1920096,srr,ERR303345
SAMEA1920096,srr,ERR303372
SAMEA1920096,srr,ERR303354
SAMEA1920096,srr,ERR303363
SAMEA1920096,srr,ERR303381
SAMEA1920096,srr,ERR303390
SAMEA1920097,srr,ERR303409
SAMEA1920097,srr,ERR303346
SAMEA1920097,srr,ERR303364
SAMEA1920097,srr,ERR303373
SAMEA1920097,srr,ERR303400
SAMEA1920097,srr,ERR303355
SAMEA1920098,srr,ERR303347
SAMEA1920098,srr,ERR303410
SAMEA1920098,srr,ERR303401
SAMEA1920098,srr,ERR303365
SAMEA1920098,srr,ERR303374
SAMEA1920098,srr,ERR303383
SAMEA1920098,srr,ERR303356
SAMEA2661292,srr,ERR715526
SAMEA2661294,srr,ERR715528
