sample_id,input_type,input
SAMD00135363,srr,DRR148671
SAMD00135364,srr,DRR148767
SAMD00135365,srr,DRR148775
SAMD00135366,srr,DRR148776
SAMD00177035,srr,DRR286432
SAMD00177036,srr,DRR286433
SAMD00177037,srr,DRR286434
SAMD00177038,srr,DRR286435
SAMD00177039,srr,DRR286436
SAMD00177042,srr,DRR286439
SAMD00177043,srr,DRR286440
SAMD00177045,srr,DRR286442
SAMD00177046,srr,DRR286443
SAMD00177047,srr,DRR286444
SAMD00177048,srr,DRR286445
SAMD00177049,srr,DRR286446
SAMD00177052,srr,DRR286449
SAMD00177056,srr,DRR286453
SAMD00177057,srr,DRR286454
SAMD00177058,srr,DRR286455
SAMD00177060,srr,DRR286457
SAMD00177061,srr,DRR286458
SAMD00177062,srr,DRR286459
SAMD00177063,srr,DRR286460
SAMD00177064,srr,DRR286461
SAMD00177065,srr,DRR286462
SAMD00177066,srr,DRR286463
SAMD00177068,srr,DRR286465
SAMD00177069,srr,DRR286466
SAMD00177070,srr,DRR286467
SAMD00407020,srr,DRR320245
SAMD00407021,srr,DRR320246
SAMD00407022,srr,DRR320247
SAMD00407024,srr,DRR320249
SAMD00407025,srr,DRR320250
SAMD00407026,srr,DRR320251
SAMD00407027,srr,DRR320252
SAMEA104381745,srr,ERR3332436
SAMEA4843593,srr,ERR3584592
SAMEA5858260,srr,ERR4766260
SAMEA5858261,srr,ERR4790879
SAMEA5858262,srr,ERR4766256
SAMEA5858263,srr,ERR4790883
SAMEA5858264,srr,ERR4790875
SAMEA6526510,srr,ERR3904055
SAMEA6526511,srr,ERR3904057
SAMEA6526513,srr,ERR3904058
SAMEA6526514,srr,ERR3904059
SAMEA6526515,srr,ERR3904060
SAMEA6526516,srr,ERR3904063
SAMEA6526517,srr,ERR3904061
SAMEA6526519,srr,ERR3904065
SAMEA6526520,srr,ERR3904064
SAMEA6526522,srr,ERR3904067
SAMEA6526523,srr,ERR3904068
SAMEA6526524,srr,ERR3904069
SAMEA6526526,srr,ERR3904070
SAMEA6526527,srr,ERR3904072
SAMEA6526529,srr,ERR3904074
SAMEA6526530,srr,ERR3904075
SAMN07955939,srr,SRR6251352
SAMN07955939,srr,SRR6251365
SAMN07955940,srr,SRR7062762
SAMN08972859,srr,SRR7062763
SAMN08972862,srr,SRR7062760
SAMN14784700,srr,SRR11828799
SAMN14986802,srr,SRR11828901
SAMN17222414,srr,SRR19508128
SAMN17222457,srr,SRR19508437
SAMN17222481,srr,SRR19508630
SAMN17222491,srr,SRR19508619
SAMN17222517,srr,SRR19508531
SAMN17222554,srr,SRR19508407
SAMN17222720,srr,SRR19508334
SAMN17222726,srr,SRR19508327
SAMN17222843,srr,SRR19508255
SAMN17222855,srr,SRR19508242
SAMN17222870,srr,SRR19508225
SAMN17223062,srr,SRR19508677
SAMN17223063,srr,SRR19508676
SAMN17223064,srr,SRR19508675
SAMN17223066,srr,SRR19508672
SAMN17223067,srr,SRR19508671
SAMN17223068,srr,SRR19508670
SAMN17223069,srr,SRR19508669
SAMN17223075,srr,SRR19508663
SAMN17223080,srr,SRR19508162
SAMN17223085,srr,SRR19508157
SAMN17223086,srr,SRR19508155
SAMN17223088,srr,SRR19508153
SAMN17223097,srr,SRR19508145
SAMN17223098,srr,SRR19508144
SAMN17223099,srr,SRR19508143
SAMN17223100,srr,SRR19508142
SAMN17223101,srr,SRR19508141
SAMN17223102,srr,SRR19508140
SAMN17223103,srr,SRR19508139
SAMN17223104,srr,SRR19508138
SAMN17223106,srr,SRR19508135
SAMN17223107,srr,SRR19508661
SAMN17223108,srr,SRR19508660
SAMN17223109,srr,SRR19508659
SAMN17223113,srr,SRR19508655
SAMN17223114,srr,SRR19508654
SAMN17223115,srr,SRR19508653
SAMN17223116,srr,SRR19508651
SAMN17223117,srr,SRR19508650
SAMN17223118,srr,SRR19508649
SAMN17223120,srr,SRR19508647
SAMN17223121,srr,SRR19508646
SAMN17223123,srr,SRR19508644
SAMN23002932,srr,SRR18231431
SAMN23002934,srr,SRR18231419
SAMN23002935,srr,SRR18231408
SAMN23002936,srr,SRR18231397
SAMN23002938,srr,SRR18231395
SAMN23002939,srr,SRR18231394
SAMN23002940,srr,SRR18231393
SAMN23002941,srr,SRR18231392
SAMN23002942,srr,SRR18231429
SAMN23002943,srr,SRR18231428
SAMN23002944,srr,SRR18231427
SAMN23002945,srr,SRR18231426
SAMN23002946,srr,SRR18231425
SAMN23002948,srr,SRR18231423
SAMN23002951,srr,SRR18231420
SAMN23002952,srr,SRR18231418
SAMN23002953,srr,SRR18231417
SAMN23002954,srr,SRR18231416
SAMN23002955,srr,SRR18231415
SAMN23002956,srr,SRR18231414
SAMN23002957,srr,SRR18231413
SAMN23002959,srr,SRR18231411
SAMN23002961,srr,SRR18231409
SAMN23002962,srr,SRR18231407
SAMN23002964,srr,SRR18231405
SAMN23002965,srr,SRR18231404
SAMN23002967,srr,SRR18231402
SAMN23002969,srr,SRR18231400
SAMN23002970,srr,SRR18231399
SAMN23002971,srr,SRR18231398
SAMN26203209,srr,SRR18747337
SAMN26203210,srr,SRR18747336
SAMN26203212,srr,SRR18747334
SAMN26203213,srr,SRR18747333
SAMN26203214,srr,SRR18747332
SAMN26203215,srr,SRR18747330
SAMN26203216,srr,SRR18747329
SAMN26203217,srr,SRR18747328
SAMN26203218,srr,SRR18747327
SAMN26203219,srr,SRR18747326
