sample_id,input_type,input
SAMEA13927290,srr,ERR9697828
SAMEA13927291,srr,ERR9697829
SAMN12560601,srr,SRR9951384
SAMN12560603,srr,SRR9951369
SAMN12560604,srr,SRR9951368
SAMN12560605,srr,SRR9951371
SAMN12560606,srr,SRR9951370
SAMN12560607,srr,SRR9951365
SAMN12560608,srr,SRR9951364
SAMN12560609,srr,SRR9951367
SAMN12560611,srr,SRR9951377
SAMN12560612,srr,SRR9951376
SAMN12560614,srr,SRR9951405
SAMN12560615,srr,SRR9951406
SAMN12560616,srr,SRR9951407
SAMN12560617,srr,SRR9951389
SAMN12560618,srr,SRR9951388
SAMN12560619,srr,SRR9951387
SAMN12560620,srr,SRR9951386
SAMN12560621,srr,SRR9951385
SAMN12560622,srr,SRR9951383
SAMN12560623,srr,SRR9951390
SAMN12560624,srr,SRR9951381
SAMN12560625,srr,SRR9951408
SAMN12560626,srr,SRR9951409
SAMN12560627,srr,SRR9951410
SAMN12560628,srr,SRR9951411
SAMN12560629,srr,SRR9951401
SAMN12560630,srr,SRR9951402
SAMN12560631,srr,SRR9951379
SAMN12560632,srr,SRR9951378
SAMN38331633,srr,SRR26889041
SAMN38331634,srr,SRR26889040
SAMN38331635,srr,SRR26888999
SAMN38331636,srr,SRR26888988
SAMN38331637,srr,SRR26888957
SAMN38331678,srr,SRR26888951
SAMN38331679,srr,SRR26888950
SAMN38331680,srr,SRR26888949
SAMN38331681,srr,SRR26888948
SAMN38331682,srr,SRR26888947
SAMN38331700,srr,SRR26888927
SAMN38331701,srr,SRR26888926
SAMN38331702,srr,SRR26888925
SAMN38331703,srr,SRR26888923
SAMN38331704,srr,SRR26888922
SAMN38331721,srr,SRR26888977
SAMN38331722,srr,SRR26888976
SAMN38331723,srr,SRR26888974
SAMN38331724,srr,SRR26888973
SAMN38331725,srr,SRR26888972
SAMN38331744,srr,SRR26889026
SAMN38331745,srr,SRR26889025
SAMN38331746,srr,SRR26889024
SAMN38331747,srr,SRR26889023
SAMN38331748,srr,SRR26889022
SAMN38331758,srr,SRR26889011
SAMN38331759,srr,SRR26889010
SAMN38331760,srr,SRR26889009
SAMN38331761,srr,SRR26889008
SAMN38331762,srr,SRR26889007
