sample_id,input_type,input
SAMN12629502,srr,SRR25382973
SAMN12629502,srr,SRR25382971
SAMN12629502,srr,SRR25382978
SAMN23286145,srr,SRR17386253
SAMN46524662,srr,SRR32206046
SAMN46524663,srr,SRR32206045
SAMN46524664,srr,SRR32206034
SAMN46524665,srr,SRR32206023
SAMN46524666,srr,SRR32206012
SAMN46524667,srr,SRR32206001
SAMN46524668,srr,SRR32205990
SAMN46524669,srr,SRR32205985
SAMN46524670,srr,SRR32205984
SAMN46524671,srr,SRR32205983
SAMN46524672,srr,SRR32206044
SAMN46524673,srr,SRR32206043
SAMN46524674,srr,SRR32206042
SAMN46524675,srr,SRR32206041
SAMN46524676,srr,SRR32206040
SAMN46524677,srr,SRR32206039
SAMN46524678,srr,SRR32206038
SAMN46524679,srr,SRR32206037
SAMN46524680,srr,SRR32206036
SAMN46524681,srr,SRR32206035
SAMN46524682,srr,SRR32206033
SAMN46524683,srr,SRR32206032
SAMN46524684,srr,SRR32206031
SAMN46524685,srr,SRR32206030
SAMN46524686,srr,SRR32206029
SAMN46524687,srr,SRR32206028
SAMN46524688,srr,SRR32206027
SAMN46524689,srr,SRR32206026
SAMN46524690,srr,SRR32206025
SAMN46524691,srr,SRR32206024
SAMN46524692,srr,SRR32206022
SAMN46524693,srr,SRR32206021
SAMN46524694,srr,SRR32206020
SAMN46524695,srr,SRR32206019
SAMN46524696,srr,SRR32206018
SAMN46524697,srr,SRR32206017
SAMN46524698,srr,SRR32206016
SAMN46524699,srr,SRR32206015
SAMN46524700,srr,SRR32206014
SAMN46524701,srr,SRR32206013
SAMN46524702,srr,SRR32206011
SAMN46524703,srr,SRR32206010
SAMN46524704,srr,SRR32206009
SAMN46524705,srr,SRR32206008
SAMN46524706,srr,SRR32206007
SAMN46524707,srr,SRR32206006
SAMN46524708,srr,SRR32206005
SAMN46524709,srr,SRR32206004
SAMN46524710,srr,SRR32206003
SAMN46524711,srr,SRR32206002
SAMN46524712,srr,SRR32206000
SAMN46524713,srr,SRR32205999
SAMN46524714,srr,SRR32205998
SAMN46524715,srr,SRR32205997
SAMN46524716,srr,SRR32205996
SAMN46524717,srr,SRR32205995
SAMN46524718,srr,SRR32205994
SAMN46524719,srr,SRR32205993
SAMN46524720,srr,SRR32205992
SAMN46524721,srr,SRR32205991
SAMN46524722,srr,SRR32205989
SAMN46524723,srr,SRR32205988
SAMN46524724,srr,SRR32205987
SAMN46524725,srr,SRR32205986
