sample_id,input_type,input
SAMEA111484062,srr,ERR10795327
SAMEA111484063,srr,ERR10795328
SAMEA111484064,srr,ERR10795329
SAMEA111484065,srr,ERR10795330
SAMEA111484066,srr,ERR10795331
SAMEA111484067,srr,ERR10795332
SAMEA111484068,srr,ERR10795333
SAMEA111484069,srr,ERR10795334
SAMEA111484070,srr,ERR10795335
SAMEA111484071,srr,ERR10795336
SAMEA111484072,srr,ERR10795337
SAMEA4675622,srr,ERR3332501
SAMEA4675622,srr,ERR3332498
SAMN02439989,srr,SRR4241139
SAMN02439989,srr,SRR1945107
SAMN09690694,srr,SRR7538468
SAMN10685075,srr,SRR8384023
SAMN10685076,srr,SRR8384024
SAMN10685077,srr,SRR8384025
SAMN10685078,srr,SRR8384026
SAMN10685079,srr,SRR8384027
SAMN10685080,srr,SRR8384028
SAMN10685081,srr,SRR8384029
SAMN10685082,srr,SRR8384030
SAMN10685083,srr,SRR8384046
SAMN10685084,srr,SRR8384032
SAMN10685085,srr,SRR8384038
SAMN10685086,srr,SRR8384039
SAMN10685087,srr,SRR8384040
SAMN10685088,srr,SRR8384041
SAMN10685089,srr,SRR8384034
SAMN10685090,srr,SRR8384035
SAMN10685091,srr,SRR8384036
SAMN10685092,srr,SRR8384037
SAMN10685093,srr,SRR8384044
SAMN10685094,srr,SRR8384045
SAMN10685095,srr,SRR8384049
SAMN10685096,srr,SRR8384048
SAMN10685097,srr,SRR8384051
SAMN10685098,srr,SRR8384050
SAMN10685099,srr,SRR8384052
SAMN10685100,srr,SRR8384055
SAMN10685101,srr,SRR8384054
SAMN10685102,srr,SRR8384053
SAMN10685103,srr,SRR8384057
SAMN10685104,srr,SRR8384056
SAMN10685105,srr,SRR8384065
SAMN10685106,srr,SRR8384066
SAMN10685107,srr,SRR8384063
SAMN10685108,srr,SRR8384064
SAMN10685109,srr,SRR8384031
SAMN10685110,srr,SRR8384033
SAMN10685111,srr,SRR8384067
SAMN10685112,srr,SRR8384047
SAMN10685113,srr,SRR8384042
SAMN10685114,srr,SRR8384043
SAMN10685115,srr,SRR8384062
SAMN10685116,srr,SRR8384061
SAMN10685117,srr,SRR8384060
SAMN10685118,srr,SRR8384058
SAMN10685119,srr,SRR8384059
SAMN10736172,srr,SRR8447765
SAMN10736173,srr,SRR8437824
SAMN10736174,srr,SRR8437821
SAMN12623624,srr,SRR25728163
SAMN12623624,srr,SRR25728162
SAMN12623624,srr,SRR25728155
SAMN12623624,srr,SRR25728154
SAMN16178102,srr,SRR12650338
SAMN16178103,srr,SRR12650337
