sample_id,input_type,input
SAMD00813974,srr,DRR591225
SAMEA110143466,srr,ERR11647141
SAMEA110143491,srr,ERR11647177
SAMEA4385625,srr,ERR1599907
SAMN02169068,srr,SRR868764
SAMN08636013,srr,SRR6954356
SAMN11077409,srr,SRR9087176
SAMN16552250,srr,SRR12898651
SAMN33323026,srr,SRR23495530
SAMN39611302,srr,SRR27746724
SAMN39611410,srr,SRR27746698
SAMN39611773,srr,SRR27747317
SAMN39622932,srr,SRR27745896
SAMN39622957,srr,SRR27745839
SAMN39623020,srr,SRR27745351
SAMN39623047,srr,SRR27745656
SAMN39623150,srr,SRR27745322
SAMN39623155,srr,SRR27745316
SAMN39623347,srr,SRR27745245
SAMN39623543,srr,SRR27745931
SAMN39623595,srr,SRR27745567
SAMN39623619,srr,SRR27745555
SAMN46527619,srr,SRR32219473
SAMN51294073,srr,SRR35364460
SAMN51294185,srr,SRR35364309
SAMN51294198,srr,SRR35364294
SAMN51294250,srr,SRR35364525
SAMN51294340,srr,SRR35364622
SAMN51294341,srr,SRR35364621
SAMN51294378,srr,SRR35364484
SAMN51430865,srr,SRR35506395
