sample_id,input_type,input
SAMN22550098,srr,SRR25748920
SAMN22550098,srr,SRR25748912
SAMN22550098,srr,SRR25748919
SAMN22550098,srr,SRR25748922
SAMN35791144,srr,SRR25133476
SAMN35791144,srr,SRR25133478
SAMN35791145,srr,SRR25144582
SAMN35791145,srr,SRR25144593
SAMN35791146,srr,SRR25144549
SAMN35791146,srr,SRR25144537
SAMN35791147,srr,SRR25144588
SAMN35791147,srr,SRR25144587
SAMN35791148,srr,SRR25144585
SAMN35791148,srr,SRR25144583
SAMN35791148,srr,SRR25144584
SAMN35791148,srr,SRR25144586
SAMN35791149,srr,SRR25144577
SAMN35791149,srr,SRR25144576
SAMN35791149,srr,SRR25144575
SAMN35791150,srr,SRR25144562
SAMN35791150,srr,SRR25144561
SAMN35791150,srr,SRR25144568
SAMN35791150,srr,SRR25144567
SAMN35791150,srr,SRR25144565
SAMN35791150,srr,SRR25144564
SAMN35791150,srr,SRR25144572
SAMN35791150,srr,SRR25144570
SAMN35791151,srr,SRR25144548
SAMN35791151,srr,SRR25144547
SAMN35791151,srr,SRR25144555
SAMN35791151,srr,SRR25144554
SAMN35791151,srr,SRR25144552
SAMN35791151,srr,SRR25144551
SAMN35791151,srr,SRR25144558
SAMN35791151,srr,SRR25144557
SAMN35791152,srr,SRR25144542
SAMN35791152,srr,SRR25144541
SAMN35791152,srr,SRR25144540
SAMN36403480,srr,SRR25516234
SAMN36403480,srr,SRR25516233
SAMN36403481,srr,SRR25516228
