sample_id,input_type,input
SAMEA2707596,srr,ERR580958
SAMN14333373,srr,SRR11679504
SAMN45926536,srr,SRR31793388
SAMN45926538,srr,SRR31793270
SAMN45926539,srr,SRR31793259
SAMN45926540,srr,SRR31793248
SAMN45926541,srr,SRR31793237
SAMN45926542,srr,SRR31793356
SAMN45926543,srr,SRR31793345
SAMN45926545,srr,SRR31793323
SAMN45926547,srr,SRR31793375
SAMN45926549,srr,SRR31793301
SAMN45926550,srr,SRR31793290
SAMN45926551,srr,SRR31793279
SAMN45926552,srr,SRR31793274
SAMN45926553,srr,SRR31793273
SAMN45926554,srr,SRR31793272
SAMN45926555,srr,SRR31793271
SAMN45926556,srr,SRR31793269
SAMN45926557,srr,SRR31793268
SAMN45926558,srr,SRR31793267
SAMN45926559,srr,SRR31793266
SAMN45926560,srr,SRR31793265
SAMN45926561,srr,SRR31793264
SAMN45926562,srr,SRR31793263
SAMN45926563,srr,SRR31793262
SAMN45926564,srr,SRR31793261
SAMN45926565,srr,SRR31793260
SAMN45926566,srr,SRR31793258
SAMN45926567,srr,SRR31793257
SAMN45926568,srr,SRR31793256
SAMN45926569,srr,SRR31793255
SAMN45926570,srr,SRR31793254
SAMN45926571,srr,SRR31793253
SAMN45926572,srr,SRR31793252
SAMN45926573,srr,SRR31793251
SAMN45926574,srr,SRR31793250
SAMN45926575,srr,SRR31793249
SAMN45926576,srr,SRR31793247
SAMN45926577,srr,SRR31793246
SAMN45926578,srr,SRR31793245
SAMN45926579,srr,SRR31793244
SAMN45926580,srr,SRR31793243
SAMN45926581,srr,SRR31793242
SAMN45926582,srr,SRR31793241
SAMN45926583,srr,SRR31793240
SAMN45926584,srr,SRR31793239
SAMN45926585,srr,SRR31793238
SAMN45926586,srr,SRR31793236
SAMN45926587,srr,SRR31793235
SAMN45926588,srr,SRR31793364
SAMN45926589,srr,SRR31793363
SAMN45926590,srr,SRR31793362
SAMN45926591,srr,SRR31793361
SAMN45926592,srr,SRR31793360
SAMN45926593,srr,SRR31793359
SAMN45926594,srr,SRR31793358
SAMN45926596,srr,SRR31793355
SAMN45926597,srr,SRR31793354
SAMN45926598,srr,SRR31793353
SAMN45926599,srr,SRR31793352
SAMN45926600,srr,SRR31793351
SAMN45926601,srr,SRR31793350
SAMN45926602,srr,SRR31793349
SAMN45926603,srr,SRR31793348
SAMN45926604,srr,SRR31793347
SAMN45926606,srr,SRR31793344
SAMN45926607,srr,SRR31793343
SAMN45926608,srr,SRR31793342
SAMN45926609,srr,SRR31793341
SAMN45926610,srr,SRR31793340
SAMN45926611,srr,SRR31793339
SAMN45926615,srr,SRR31793335
SAMN45926616,srr,SRR31793333
SAMN45926617,srr,SRR31793332
SAMN45926618,srr,SRR31793331
SAMN45926619,srr,SRR31793330
SAMN45926620,srr,SRR31793329
SAMN45926621,srr,SRR31793328
SAMN45926622,srr,SRR31793327
SAMN45926623,srr,SRR31793326
SAMN45926624,srr,SRR31793325
SAMN45926625,srr,SRR31793324
SAMN45926626,srr,SRR31793322
SAMN45926627,srr,SRR31793321
SAMN45926628,srr,SRR31793320
SAMN45926629,srr,SRR31793319
SAMN45926630,srr,SRR31793318
SAMN45926631,srr,SRR31793317
SAMN45926633,srr,SRR31793315
SAMN45926634,srr,SRR31793314
SAMN45926635,srr,SRR31793312
SAMN45926636,srr,SRR31793385
SAMN45926637,srr,SRR31793384
SAMN45926638,srr,SRR31793383
SAMN45926639,srr,SRR31793382
SAMN45926640,srr,SRR31793381
SAMN45926641,srr,SRR31793380
SAMN45926642,srr,SRR31793379
SAMN45926644,srr,SRR31793377
SAMN45926645,srr,SRR31793376
SAMN45926646,srr,SRR31793374
SAMN45926647,srr,SRR31793373
SAMN45926648,srr,SRR31793372
SAMN45926649,srr,SRR31793371
SAMN45926651,srr,SRR31793369
SAMN45926652,srr,SRR31793368
SAMN45926653,srr,SRR31793367
SAMN45926654,srr,SRR31793366
SAMN45926655,srr,SRR31793365
SAMN45926656,srr,SRR31793311
SAMN45926657,srr,SRR31793310
SAMN45926659,srr,SRR31793308
SAMN45926660,srr,SRR31793307
SAMN45926663,srr,SRR31793304
SAMN45926664,srr,SRR31793303
SAMN45926668,srr,SRR31793298
SAMN45926670,srr,SRR31793296
SAMN45926672,srr,SRR31793294
SAMN45926673,srr,SRR31793293
SAMN45926674,srr,SRR31793292
SAMN45926676,srr,SRR31793289
SAMN45926677,srr,SRR31793288
SAMN45926678,srr,SRR31793287
SAMN45926679,srr,SRR31793286
SAMN45926680,srr,SRR31793285
SAMN45926681,srr,SRR31793284
SAMN45926684,srr,SRR31793281
SAMN45926685,srr,SRR31793280
SAMN45926686,srr,SRR31793278
SAMN45926687,srr,SRR31793277
