sample_id,input_type,input
SAMN04959071,srr,SRR3529497
SAMN07654063,srr,SRR6040929
SAMN07654063,srr,SRR6040928
SAMN10473954,srr,SRR8240566
SAMN14603947,srr,SRR11551351
SAMN14603948,srr,SRR11551350
SAMN17882350,srr,SRR13692260
SAMN17882351,srr,SRR13692259
SAMN17882352,srr,SRR13692224
SAMN17882353,srr,SRR13692213
SAMN17882354,srr,SRR13692202
SAMN17882355,srr,SRR13692191
SAMN17882356,srr,SRR13692180
SAMN17882357,srr,SRR13692169
SAMN17882358,srr,SRR13692254
SAMN17882359,srr,SRR13692243
SAMN17882360,srr,SRR13692258
SAMN17882361,srr,SRR13692257
SAMN17882362,srr,SRR13692233
SAMN17882363,srr,SRR13692231
SAMN17882364,srr,SRR13692230
SAMN17882365,srr,SRR13692229
SAMN17882366,srr,SRR13692228
SAMN17882367,srr,SRR13692227
SAMN17882368,srr,SRR13692226
SAMN17882369,srr,SRR13692225
SAMN17882370,srr,SRR13692223
SAMN17882371,srr,SRR13692222
SAMN17882372,srr,SRR13692221
SAMN17882373,srr,SRR13692220
SAMN17882374,srr,SRR13692219
SAMN17882375,srr,SRR13692218
SAMN17882376,srr,SRR13692217
SAMN17882377,srr,SRR13692216
SAMN17882378,srr,SRR13692215
SAMN17882379,srr,SRR13692214
SAMN17882380,srr,SRR13692212
SAMN17882381,srr,SRR13692211
SAMN17882382,srr,SRR13692210
SAMN17882383,srr,SRR13692209
SAMN17882384,srr,SRR13692208
SAMN17882385,srr,SRR13692207
SAMN17882386,srr,SRR13692206
SAMN17882387,srr,SRR13692205
SAMN17882388,srr,SRR13692204
SAMN17882389,srr,SRR13692203
SAMN17882390,srr,SRR13692201
SAMN17882391,srr,SRR13692200
SAMN17882392,srr,SRR13692199
SAMN17882393,srr,SRR13692198
SAMN17882394,srr,SRR13692197
SAMN17882395,srr,SRR13692196
SAMN17882396,srr,SRR13692195
SAMN17882397,srr,SRR13692194
SAMN17882398,srr,SRR13692193
SAMN17882399,srr,SRR13692192
SAMN17882400,srr,SRR13692190
SAMN17882401,srr,SRR13692189
SAMN17882402,srr,SRR13692188
SAMN17882403,srr,SRR13692187
SAMN17882404,srr,SRR13692186
SAMN17882405,srr,SRR13692185
SAMN17882406,srr,SRR13692184
SAMN17882407,srr,SRR13692183
SAMN17882408,srr,SRR13692182
SAMN17882409,srr,SRR13692181
SAMN17882410,srr,SRR13692179
SAMN17882411,srr,SRR13692178
SAMN17882412,srr,SRR13692177
SAMN17882413,srr,SRR13692176
SAMN17882414,srr,SRR13692175
SAMN17882415,srr,SRR13692174
SAMN17882416,srr,SRR13692173
SAMN17882417,srr,SRR13692172
SAMN17882418,srr,SRR13692171
SAMN17882419,srr,SRR13692170
SAMN17882420,srr,SRR13692168
SAMN17882421,srr,SRR13692167
SAMN17882422,srr,SRR13692166
SAMN17882423,srr,SRR13692165
SAMN17882424,srr,SRR13692164
SAMN17882425,srr,SRR13692163
SAMN17882426,srr,SRR13692162
SAMN17882427,srr,SRR13692161
SAMN17882428,srr,SRR13692256
SAMN17882429,srr,SRR13692255
SAMN17882430,srr,SRR13692253
SAMN17882431,srr,SRR13692252
SAMN17882432,srr,SRR13692251
SAMN17882433,srr,SRR13692250
SAMN17882434,srr,SRR13692249
SAMN17882435,srr,SRR13692248
SAMN17882436,srr,SRR13692247
SAMN17882437,srr,SRR13692246
SAMN17882438,srr,SRR13692245
SAMN17882439,srr,SRR13692244
SAMN17882440,srr,SRR13692242
SAMN17882441,srr,SRR13692241
SAMN17882442,srr,SRR13692240
SAMN17882443,srr,SRR13692239
SAMN17882444,srr,SRR13692238
SAMN17882445,srr,SRR13692237
SAMN17882446,srr,SRR13692236
SAMN17882447,srr,SRR13692235
SAMN17882448,srr,SRR13692234
SAMN17882449,srr,SRR13692232
