sample_id,input_type,input
SAMEA104026378,srr,ERR2204259
SAMN14857986,srr,SRR11741532
SAMN14857987,srr,SRR11741531
SAMN14857988,srr,SRR11741520
SAMN14857989,srr,SRR11741518
SAMN14857990,srr,SRR11741517
SAMN14857991,srr,SRR11741516
SAMN14857992,srr,SRR11741515
SAMN14857993,srr,SRR11741514
SAMN14857994,srr,SRR11741513
SAMN14857995,srr,SRR11741512
SAMN14857996,srr,SRR11741530
SAMN14857997,srr,SRR11741529
SAMN14857998,srr,SRR11741528
SAMN14857999,srr,SRR11741527
SAMN14858000,srr,SRR11741526
SAMN14858001,srr,SRR11741525
SAMN14858002,srr,SRR11741524
SAMN14858003,srr,SRR11741523
SAMN14858004,srr,SRR11741522
SAMN14858005,srr,SRR11741521
SAMN14858006,srr,SRR11741519
SAMN31779408,srr,SRR22329050
SAMN31779409,srr,SRR22329049
SAMN31779410,srr,SRR22329048
SAMN31779411,srr,SRR22329047
SAMN31779412,srr,SRR22329046
SAMN31779413,srr,SRR22329045
