sample_id,input_type,input
SAMN20310102,srr,SRR15523281
SAMN20310227,srr,SRR15523162
SAMN20310276,srr,SRR15523108
SAMN23555494,srr,SRR17110045
SAMN29572937,srr,SRR20324627
SAMN29572938,srr,SRR20324626
SAMN29572939,srr,SRR20324510
SAMN29572942,srr,SRR20324589
SAMN29572945,srr,SRR20324528
SAMN29572946,srr,SRR20324517
SAMN29572949,srr,SRR20324603
SAMN29572954,srr,SRR20324541
SAMN29572955,srr,SRR20324512
SAMN29572957,srr,SRR20324509
SAMN29572959,srr,SRR20324507
SAMN29572960,srr,SRR20324506
SAMN29572961,srr,SRR20324505
SAMN29572965,srr,SRR20324501
SAMN29572967,srr,SRR20324498
SAMN29572968,srr,SRR20324497
SAMN29572972,srr,SRR20324493
SAMN29572974,srr,SRR20324491
SAMN29572975,srr,SRR20324490
SAMN29572977,srr,SRR20324487
SAMN29572981,srr,SRR20324595
SAMN29572982,srr,SRR20324594
SAMN29572984,srr,SRR20324592
SAMN29572985,srr,SRR20324591
SAMN29572986,srr,SRR20324590
SAMN29572987,srr,SRR20324588
SAMN29572988,srr,SRR20324587
SAMN29572989,srr,SRR20324586
SAMN29572991,srr,SRR20324584
SAMN29572992,srr,SRR20324583
SAMN29572994,srr,SRR20324581
SAMN29572995,srr,SRR20324580
SAMN29572997,srr,SRR20324577
SAMN29573001,srr,SRR20324573
SAMN29573003,srr,SRR20324571
SAMN29573004,srr,SRR20324570
SAMN29573005,srr,SRR20324569
SAMN29573007,srr,SRR20324538
SAMN29573015,srr,SRR20324530
SAMN29573023,srr,SRR20324521
SAMN29573029,srr,SRR20324514
SAMN29573035,srr,SRR20324480
SAMN29573036,srr,SRR20324479
SAMN29573039,srr,SRR20324622
SAMN29573040,srr,SRR20324621
SAMN29573041,srr,SRR20324620
SAMN29573042,srr,SRR20324619
SAMN29573045,srr,SRR20324616
SAMN29573046,srr,SRR20324615
SAMN29573048,srr,SRR20324612
SAMN29573051,srr,SRR20324609
SAMN29573053,srr,SRR20324607
SAMN29573054,srr,SRR20324606
SAMN29573055,srr,SRR20324605
SAMN29573060,srr,SRR20324599
SAMN29573061,srr,SRR20324598
SAMN29573068,srr,SRR20324562
SAMN29573070,srr,SRR20324560
SAMN29573071,srr,SRR20324559
SAMN29573074,srr,SRR20324556
SAMN29573076,srr,SRR20324554
SAMN29573079,srr,SRR20324550
SAMN29573080,srr,SRR20324549
SAMN29573085,srr,SRR20324544
SAMN29761943,srr,SRR20217413
SAMN29761947,srr,SRR20217409
SAMN29761948,srr,SRR20217408
SAMN37286726,srr,SRR26340643
SAMN37286727,srr,SRR26340642
SAMN37286733,srr,SRR26340635
SAMN37286735,srr,SRR26340633
SAMN37286740,srr,SRR26340628
SAMN37286741,srr,SRR26340626
SAMN37286745,srr,SRR26340622
SAMN37286747,srr,SRR26340620
SAMN37286750,srr,SRR26340617
SAMN37286756,srr,SRR26340610
SAMN37286757,srr,SRR26340609
SAMN37286759,srr,SRR26340607
SAMN37286761,srr,SRR26340700
SAMN37286762,srr,SRR26340699
SAMN37286763,srr,SRR26340698
SAMN37286764,srr,SRR26340697
SAMN37286766,srr,SRR26340695
SAMN37286767,srr,SRR26340694
SAMN37286768,srr,SRR26340693
SAMN37286769,srr,SRR26340692
SAMN37286773,srr,SRR26340687
SAMN37286775,srr,SRR26340685
SAMN37286776,srr,SRR26340684
SAMN37286780,srr,SRR26340680
SAMN37286785,srr,SRR26340674
SAMN37286786,srr,SRR26340673
SAMN37286788,srr,SRR26340671
SAMN37286790,srr,SRR26340669
SAMN37286795,srr,SRR26340599
SAMN37286796,srr,SRR26340598
SAMN37286800,srr,SRR26340594
SAMN37286803,srr,SRR26340731
SAMN37286805,srr,SRR26340729
SAMN37286806,srr,SRR26340728
SAMN37286807,srr,SRR26340727
SAMN37286809,srr,SRR26340725
SAMN37286810,srr,SRR26340724
SAMN37286811,srr,SRR26340722
SAMN37286814,srr,SRR26340719
SAMN37286816,srr,SRR26340717
SAMN37286818,srr,SRR26340715
SAMN37286819,srr,SRR26340714
SAMN37286821,srr,SRR26340711
SAMN37286822,srr,SRR26340710
SAMN37286823,srr,SRR26340709
SAMN37286824,srr,SRR26340708
SAMN37286825,srr,SRR26340707
SAMN37286830,srr,SRR26340702
SAMN37286834,srr,SRR26340665
SAMN37286835,srr,SRR26340664
SAMN37286841,srr,SRR26340657
SAMN39584286,srr,SRR27732575
SAMN39584287,srr,SRR27732564
SAMN39584288,srr,SRR27732563
SAMN39584289,srr,SRR27732562
SAMN39584290,srr,SRR27732561
SAMN39584293,srr,SRR27732596
SAMN39584295,srr,SRR27732594
SAMN39584297,srr,SRR27732592
SAMN39584301,srr,SRR27732588
SAMN39584302,srr,SRR27732587
SAMN39584303,srr,SRR27732585
SAMN39584304,srr,SRR27732584
SAMN39584306,srr,SRR27732582
SAMN39584307,srr,SRR27732581
SAMN39584314,srr,SRR27732573
SAMN39584315,srr,SRR27732572
SAMN39584321,srr,SRR27732566
SAMN40411468,srr,SRR28298331
SAMN40411469,srr,SRR28298330
SAMN40411472,srr,SRR28298307
SAMN40411473,srr,SRR28298306
SAMN40411476,srr,SRR28298303
SAMN40411484,srr,SRR28298323
SAMN40411486,srr,SRR28298321
SAMN40411493,srr,SRR28298313
SAMN40411494,srr,SRR28298312
SAMN40411496,srr,SRR28298310
SAMN40411497,srr,SRR28298309
