sample_id,input_type,input
SAMN43956783,srr,SRR30862855
SAMN43956784,srr,SRR30862854
SAMN43956786,srr,SRR30862832
SAMN43956788,srr,SRR30862826
SAMN43956789,srr,SRR30862825
SAMN43956790,srr,SRR30862824
SAMN43956791,srr,SRR30862823
SAMN43956792,srr,SRR30862822
SAMN43956793,srr,SRR30862853
SAMN43956794,srr,SRR30862852
SAMN43956796,srr,SRR30862850
SAMN43956797,srr,SRR30862849
SAMN43956798,srr,SRR30862848
SAMN43956799,srr,SRR30862847
SAMN43956800,srr,SRR30862846
SAMN43956801,srr,SRR30862845
SAMN43956802,srr,SRR30862844
SAMN43956803,srr,SRR30862842
SAMN43956804,srr,SRR30862841
SAMN43956805,srr,SRR30862840
SAMN43956807,srr,SRR30862838
SAMN43956808,srr,SRR30862837
SAMN43956809,srr,SRR30862836
SAMN43956811,srr,SRR30862834
SAMN43956813,srr,SRR30862831
SAMN43956814,srr,SRR30862830
SAMN43956815,srr,SRR30862829
SAMN43956816,srr,SRR30862828
SAMN49844448,srr,SRR34432896
SAMN49844449,srr,SRR34432895
SAMN49844450,srr,SRR34432894
SAMN49844451,srr,SRR34432893
SAMN49844452,srr,SRR34432932
SAMN49844453,srr,SRR34432931
SAMN49844454,srr,SRR34432930
SAMN49844455,srr,SRR34432929
SAMN49844456,srr,SRR34432928
SAMN49844457,srr,SRR34432927
SAMN49844458,srr,SRR34432926
SAMN49844459,srr,SRR34432925
SAMN49844460,srr,SRR34432924
SAMN49844461,srr,SRR34432923
SAMN49844462,srr,SRR34432921
SAMN49844463,srr,SRR34432920
SAMN49844464,srr,SRR34432919
SAMN49844465,srr,SRR34432918
SAMN49844466,srr,SRR34432917
SAMN49844467,srr,SRR34432916
SAMN49844476,srr,SRR34432906
SAMN49844477,srr,SRR34432905
SAMN49844478,srr,SRR34432904
SAMN49844479,srr,SRR34432903
SAMN49844480,srr,SRR34432902
SAMN49844481,srr,SRR34432901
