sample_id,input_type,input
SAMEA118444162,srr,ERR15140422
SAMEA118444163,srr,ERR15140423
SAMEA118444164,srr,ERR15140424
SAMEA118444164,srr,ERR15140425
SAMEA118444165,srr,ERR15140426
SAMEA118444167,srr,ERR15140428
SAMEA118444168,srr,ERR15140429
SAMEA118444169,srr,ERR15140430
SAMEA118444170,srr,ERR15140431
SAMEA118444171,srr,ERR15140432
SAMEA118444172,srr,ERR15140433
SAMEA118444173,srr,ERR15140434
SAMEA118444174,srr,ERR15140435
SAMEA118444175,srr,ERR15140436
SAMEA118444177,srr,ERR15140438
SAMEA118444178,srr,ERR15140439
SAMEA118444179,srr,ERR15140440
SAMEA118444180,srr,ERR15140441
SAMEA118444181,srr,ERR15140442
SAMEA118444182,srr,ERR15140443
SAMEA118444183,srr,ERR15140444
SAMEA118444184,srr,ERR15140445
SAMEA118444185,srr,ERR15140446
SAMEA118444186,srr,ERR15140447
SAMEA118444187,srr,ERR15140448
SAMEA118444188,srr,ERR15140449
SAMEA118444189,srr,ERR15140450
SAMEA118444190,srr,ERR15140451
SAMEA118444191,srr,ERR15140452
SAMEA118444192,srr,ERR15140453
SAMEA118444193,srr,ERR15140454
SAMEA118444194,srr,ERR15140455
SAMEA118444195,srr,ERR15140456
SAMEA118444196,srr,ERR15140457
SAMEA118444197,srr,ERR15140458
SAMEA118444198,srr,ERR15140459
SAMEA118444199,srr,ERR15140460
SAMEA118444200,srr,ERR15140461
SAMEA118444201,srr,ERR15140462
SAMEA118444202,srr,ERR15140463
SAMEA118444203,srr,ERR15140464
SAMEA118444204,srr,ERR15140465
SAMEA118444205,srr,ERR15140466
SAMEA118444206,srr,ERR15140467
SAMEA118444206,srr,ERR15140468
SAMEA118444207,srr,ERR15140469
SAMEA118444207,srr,ERR15140470
SAMEA118444208,srr,ERR15140471
SAMEA118444208,srr,ERR15140472
SAMEA118444209,srr,ERR15140473
SAMEA118444209,srr,ERR15140474
SAMEA118444210,srr,ERR15140475
SAMEA118444210,srr,ERR15140476
SAMEA118444211,srr,ERR15140477
SAMEA118444211,srr,ERR15140478
SAMEA118444212,srr,ERR15140479
SAMEA118444212,srr,ERR15140480
SAMEA118444213,srr,ERR15140481
SAMEA118444213,srr,ERR15140482
SAMEA118444214,srr,ERR15140483
SAMEA118444214,srr,ERR15140484
SAMEA118444215,srr,ERR15140486
SAMEA118444215,srr,ERR15140485
SAMN31781931,srr,SRR24224975
