sample_id,input_type,input
SAMEA6517822,srr,ERR3899075
SAMEA6517822,srr,ERR3899073
SAMEA6519818,srr,ERR3898745
SAMEA6519818,srr,ERR3898746
SAMEA6519818,srr,ERR3898747
SAMEA6519818,srr,ERR3898744
SAMEA6519822,srr,ERR3898758
SAMEA6519822,srr,ERR3898759
SAMEA6519822,srr,ERR3898760
SAMEA6519822,srr,ERR3898757
SAMEA6519827,srr,ERR3898774
SAMEA6519827,srr,ERR3898775
SAMEA6519827,srr,ERR3898776
SAMEA6519827,srr,ERR3898773
SAMEA6519828,srr,ERR3898777
SAMEA6519828,srr,ERR3898778
SAMEA6519828,srr,ERR3898779
SAMEA6519829,srr,ERR3898781
SAMEA6519829,srr,ERR3898782
SAMEA6519829,srr,ERR3898783
SAMEA6519829,srr,ERR3898780
SAMEA6519833,srr,ERR3898795
SAMEA6519833,srr,ERR3898796
SAMEA6519833,srr,ERR3898794
SAMEA6519833,srr,ERR3898793
SAMEA6519835,srr,ERR3898801
SAMEA6519835,srr,ERR3898800
SAMEA6519835,srr,ERR3898802
SAMEA6519836,srr,ERR3898804
SAMEA6519836,srr,ERR3898805
SAMEA6519836,srr,ERR3898803
SAMEA6519839,srr,ERR3898813
SAMEA6519839,srr,ERR3898814
SAMEA6519839,srr,ERR3898812
SAMEA6519841,srr,ERR3898819
SAMEA6519841,srr,ERR3898820
SAMEA6519841,srr,ERR3898818
SAMEA6519843,srr,ERR3898825
SAMEA6519843,srr,ERR3898826
SAMEA6519843,srr,ERR3898824
SAMEA6519853,srr,ERR3898855
SAMEA6519853,srr,ERR3898856
SAMEA6519853,srr,ERR3898857
SAMEA6519853,srr,ERR3898854
SAMEA6519857,srr,ERR3898867
SAMEA6519858,srr,ERR3898868
SAMEA6519860,srr,ERR3898870
SAMEA6519861,srr,ERR3898871
SAMEA6519862,srr,ERR3898872
SAMEA6519863,srr,ERR3898873
SAMEA6519864,srr,ERR3898874
SAMEA6519865,srr,ERR3898875
SAMEA6519866,srr,ERR3898876
