sample_id,input_type,input
SAMD00197000,srr,DRR200444
SAMEA110410792,srr,ERR9991923
SAMEA110410794,srr,ERR9991925
SAMEA110410803,srr,ERR9992052
SAMEA110410805,srr,ERR9992483
SAMEA110410821,srr,ERR9993266
SAMEA110410823,srr,ERR9993268
SAMEA110410840,srr,ERR9993334
SAMEA110410844,srr,ERR9993338
SAMEA110410853,srr,ERR9993347
SAMEA110410866,srr,ERR9993377
SAMEA110410868,srr,ERR9993379
SAMEA110410875,srr,ERR9993386
SAMEA110410878,srr,ERR9993389
SAMEA110410886,srr,ERR9993397
SAMEA110410898,srr,ERR9993409
SAMEA110410900,srr,ERR9993411
SAMEA110410904,srr,ERR9993415
SAMEA110410910,srr,ERR10048072
SAMEA110410914,srr,ERR10048087
SAMEA110410923,srr,ERR10048124
SAMEA110410928,srr,ERR9993417
SAMEA110410929,srr,ERR9993418
SAMEA110410936,srr,ERR9993426
SAMEA110410938,srr,ERR9993428
SAMEA110410961,srr,ERR9993451
SAMEA110410965,srr,ERR9993455
SAMEA110410968,srr,ERR9993458
SAMEA110410973,srr,ERR9993463
SAMEA110410987,srr,ERR9993477
SAMEA110410989,srr,ERR9993479
SAMEA110410991,srr,ERR9993481
SAMEA110410998,srr,ERR9993488
SAMEA110411007,srr,ERR9993588
SAMEA110411013,srr,ERR9993593
SAMEA110411029,srr,ERR9994207
SAMEA110411031,srr,ERR9994209
SAMEA110411064,srr,ERR9995537
SAMEA110411065,srr,ERR9995538
SAMEA110411069,srr,ERR9995624
SAMEA110411070,srr,ERR9995626
SAMEA110411078,srr,ERR9995698
SAMEA110411090,srr,ERR9996872
SAMEA110411094,srr,ERR9996877
SAMEA110411123,srr,ERR9996898
SAMEA110411124,srr,ERR9996899
SAMEA110411127,srr,ERR9997019
SAMEA110411130,srr,ERR9997022
SAMEA110411134,srr,ERR9997131
SAMEA110411135,srr,ERR9997206
SAMEA110411137,srr,ERR9997330
SAMEA110411138,srr,ERR9997374
SAMEA110411185,srr,ERR9997535
SAMEA110411192,srr,ERR9997543
SAMEA110411193,srr,ERR9997544
SAMEA110411194,srr,ERR9997545
SAMEA110411196,srr,ERR9997550
SAMEA110411198,srr,ERR9997587
SAMEA110411214,srr,ERR9997799
SAMEA110411218,srr,ERR9997807
SAMEA110411220,srr,ERR9997812
SAMEA110411229,srr,ERR9997830
SAMEA110411232,srr,ERR9997839
SAMEA110411252,srr,ERR9997948
SAMEA110411264,srr,ERR9997978
SAMEA110411281,srr,ERR9998016
SAMEA110411283,srr,ERR9998021
SAMEA110411294,srr,ERR9998028
SAMEA110411300,srr,ERR9998045
SAMEA110411301,srr,ERR9998048
SAMEA110411303,srr,ERR9998053
SAMEA110411305,srr,ERR9998061
SAMEA110411307,srr,ERR9998065
SAMEA110411308,srr,ERR9998068
SAMEA110411314,srr,ERR9998087
SAMEA110411328,srr,ERR9998123
SAMEA110411344,srr,ERR9998460
SAMEA110411356,srr,ERR9998484
SAMEA110411357,srr,ERR9998487
SAMEA110411360,srr,ERR9998490
SAMEA110411363,srr,ERR9998494
SAMEA110411374,srr,ERR9998564
SAMEA110411375,srr,ERR9998566
SAMEA110411378,srr,ERR9998572
SAMEA110411398,srr,ERR9998953
SAMEA110411401,srr,ERR9998957
SAMEA110411412,srr,ERR9999210
SAMEA110411413,srr,ERR9999212
SAMEA110411415,srr,ERR9999215
SAMEA110411419,srr,ERR9999221
SAMEA110411420,srr,ERR9999222
SAMEA110411424,srr,ERR9999325
SAMEA110411428,srr,ERR9999331
SAMEA110411434,srr,ERR9999340
SAMEA110411436,srr,ERR9999343
SAMEA110411439,srr,ERR9999346
SAMEA110411441,srr,ERR9999349
SAMEA110411447,srr,ERR9999358
SAMEA110411449,srr,ERR9999361
SAMEA110411459,srr,ERR9999484
SAMEA110411464,srr,ERR9999538
SAMEA110411479,srr,ERR10006022
SAMEA110411480,srr,ERR10006024
SAMEA110411487,srr,ERR10006134
SAMEA110411488,srr,ERR10006147
SAMEA110411492,srr,ERR10006176
SAMEA110411495,srr,ERR10006186
SAMEA110411502,srr,ERR10006355
SAMEA110411526,srr,ERR10006486
SAMEA110411527,srr,ERR10006491
SAMEA110411530,srr,ERR10006499
SAMEA110411544,srr,ERR10006538
SAMEA110411546,srr,ERR10006546
SAMEA110411554,srr,ERR10006569
SAMEA110411555,srr,ERR10006571
SAMEA110411581,srr,ERR10006877
SAMEA110411588,srr,ERR10006892
SAMEA110411593,srr,ERR10006897
SAMEA110411598,srr,ERR10006904
SAMEA110411601,srr,ERR10006909
SAMEA110411602,srr,ERR10006911
SAMEA110411635,srr,ERR10006970
SAMEA110411637,srr,ERR10006973
SAMEA110411639,srr,ERR10006976
SAMEA110411640,srr,ERR10006977
SAMEA110639765,srr,ERR10048291
SAMEA112785306,srr,ERR13930427
SAMEA112785307,srr,ERR13930428
SAMEA112785308,srr,ERR13930429
SAMEA112785315,srr,ERR13930438
SAMEA7092080,srr,ERR4383834
SAMEA7129519,srr,ERR4408316
SAMEA7129522,srr,ERR4408319
SAMEA7129539,srr,ERR4408336
SAMEA7129540,srr,ERR4408337
SAMEA7159511,srr,ERR4425423
SAMEA7159512,srr,ERR4425424
SAMEA7159516,srr,ERR4425428
SAMN16580050,srr,SRR12921900
SAMN16580054,srr,SRR12921896
SAMN16580057,srr,SRR12921893
SAMN16580074,srr,SRR12921874
SAMN16580076,srr,SRR12921872
