sample_id,input_type,input
SAMEA3673148,srr,ERR1145076
SAMEA3673148,srr,ERR1145083
SAMEA3673148,srr,ERR1145051
SAMEA3673148,srr,ERR1145081
SAMEA3673148,srr,ERR1145077
SAMEA3673148,srr,ERR1145100
SAMEA3673148,srr,ERR1145058
SAMN11618026,srr,SRR9039892
SAMN11618026,srr,SRR9039898
SAMN11618026,srr,SRR9039891
SAMN11618027,srr,SRR9039890
SAMN15667284,srr,SRR12344049
SAMN15907216,srr,SRR12519227
SAMN15907217,srr,SRR12519226
SAMN15907218,srr,SRR12519225
SAMN15907219,srr,SRR12519224
SAMN15907220,srr,SRR12519223
SAMN15907221,srr,SRR12519222
SAMN15907222,srr,SRR12519221
SAMN15907223,srr,SRR12519220
SAMN15907224,srr,SRR12519219
SAMN15907225,srr,SRR12519218
SAMN24443466,srr,SRR17338368
