sample_id,input_type,input
SAMEA104384835,srr,ERR3332423
SAMEA6240348,srr,ERR3674775
SAMEA6240348,srr,ERR3674774
SAMEA6240470,srr,ERR3675332
SAMEA6240470,srr,ERR3675334
SAMEA7325142,srr,ERR4833659
SAMEA7325143,srr,ERR4835456
SAMEA7325144,srr,ERR4833630
SAMEA7325145,srr,ERR4835444
SAMEA7325146,srr,ERR4833251
SAMEA7325147,srr,ERR4833674
SAMEA7325149,srr,ERR4835479
SAMEA7325150,srr,ERR4832652
SAMEA7325151,srr,ERR4832674
SAMEA7325152,srr,ERR4836137
SAMEA7325153,srr,ERR4832659
SAMEA7325154,srr,ERR4833221
SAMEA7325155,srr,ERR4833588
SAMEA7325156,srr,ERR4832966
SAMEA7325157,srr,ERR4833646
SAMEA7325158,srr,ERR4832660
SAMEA7325159,srr,ERR4832653
SAMEA7325160,srr,ERR4832679
SAMEA7325161,srr,ERR4833353
SAMEA7325162,srr,ERR4878543
SAMEA7325180,srr,ERR4832666
SAMEA7325181,srr,ERR4832965
SAMEA7325182,srr,ERR4835458
SAMEA7325183,srr,ERR4836200
SAMEA7325184,srr,ERR4833642
SAMEA7325185,srr,ERR4835450
SAMEA7325186,srr,ERR4832647
SAMEA7325187,srr,ERR4832650
SAMEA7325188,srr,ERR4832665
SAMEA7325189,srr,ERR4833248
SAMEA7325190,srr,ERR4833629
SAMEA7325191,srr,ERR4832646
SAMEA7325192,srr,ERR4832672
SAMEA7325193,srr,ERR4833219
SAMEA7325194,srr,ERR4832670
SAMEA7325195,srr,ERR4833223
SAMEA7325196,srr,ERR4833643
SAMEA7325197,srr,ERR4835452
SAMEA7325198,srr,ERR4835432
SAMEA7325199,srr,ERR4832651
SAMEA7325200,srr,ERR4832643
SAMEA7325201,srr,ERR4832664
SAMEA7325202,srr,ERR4832645
SAMEA7325203,srr,ERR4832669
SAMEA7325204,srr,ERR4832964
SAMEA7325205,srr,ERR4833529
SAMEA7325206,srr,ERR4832963
SAMEA7325207,srr,ERR4833530
SAMEA7325208,srr,ERR4835430
SAMEA7325209,srr,ERR4835439
SAMEA8065503,srr,ERR5296644
SAMEA8065503,srr,ERR5296643
SAMN07965931,srr,SRR6244981
SAMN12172394,srr,SRR9615522
SAMN12172395,srr,SRR9615521
SAMN12172396,srr,SRR9615524
SAMN12172397,srr,SRR9615523
SAMN12172398,srr,SRR9615526
SAMN12172399,srr,SRR9615525
SAMN12172400,srr,SRR9615492
SAMN12172401,srr,SRR9615491
SAMN12172406,srr,SRR9615494
SAMN12172407,srr,SRR9615493
SAMN12172408,srr,SRR9615484
SAMN12172409,srr,SRR9615483
SAMN12172410,srr,SRR9615503
SAMN12172411,srr,SRR9615504
SAMN12172412,srr,SRR9615501
SAMN12172413,srr,SRR9615502
SAMN38739610,srr,SRR27173945
SAMN38739612,srr,SRR27173942
SAMN38739614,srr,SRR27173941
SAMN38739616,srr,SRR27173940
