sample_id,input_type,input
SAMN37653106,srr,SRR26262420
SAMN37653107,srr,SRR26262419
SAMN37653108,srr,SRR26262409
SAMN37653109,srr,SRR26262408
SAMN37653110,srr,SRR26262407
SAMN37653111,srr,SRR26262406
SAMN37653112,srr,SRR26262405
SAMN37653113,srr,SRR26262404
SAMN37653114,srr,SRR26262403
SAMN37653115,srr,SRR26262402
SAMN37653116,srr,SRR26262418
SAMN37653117,srr,SRR26262417
SAMN37653118,srr,SRR26262416
SAMN37653119,srr,SRR26262415
SAMN37653120,srr,SRR26262414
SAMN37653121,srr,SRR26262413
SAMN37653122,srr,SRR26262412
SAMN37653123,srr,SRR26262411
SAMN37653124,srr,SRR26262410
