sample_id,input_type,input
SAMEA5563360,srr,ERR3278810
SAMEA5563360,srr,ERR3278811
SAMEA5563360,srr,ERR3278812
SAMEA5563360,srr,ERR3278813
SAMEA10921733,srr,ERR7287992
SAMEA10921735,srr,ERR7287993
SAMEA10921737,srr,ERR7287994
SAMEA10921739,srr,ERR7287995
SAMEA10921741,srr,ERR7287996
SAMEA10921743,srr,ERR7287997
SAMEA10921745,srr,ERR7287998
SAMEA10921747,srr,ERR7287999
SAMEA10921749,srr,ERR7288000
SAMEA10921751,srr,ERR7288001
SAMEA10921753,srr,ERR7288002
SAMEA10921755,srr,ERR7288003
SAMEA10921757,srr,ERR7288004
SAMEA10921759,srr,ERR7288005
SAMEA10921763,srr,ERR7288007
SAMEA10921767,srr,ERR7288009
SAMEA10921769,srr,ERR7288010
SAMEA10921771,srr,ERR7288011
SAMEA10921777,srr,ERR7288014
SAMEA10921779,srr,ERR7288015
SAMEA10921781,srr,ERR7288016
SAMEA10921789,srr,ERR7288020
SAMEA10921793,srr,ERR7288022
SAMEA10921795,srr,ERR7288023
SAMN14333275,srr,SRR11679506
