sample_id,input_type,input
SAMD00019953,srr,DRR023068
SAMD00019954,srr,DRR023069
SAMD00019985,srr,DRR023074
SAMD00019986,srr,DRR023075
SAMD00019987,srr,DRR023076
SAMD00108306,srr,DRR119955
SAMD00144293,srr,DRR154088
SAMD00144294,srr,DRR154089
SAMD00144295,srr,DRR154090
SAMD00144296,srr,DRR154091
SAMD00144297,srr,DRR154092
SAMD00144298,srr,DRR154093
SAMD00144299,srr,DRR154094
SAMD00144300,srr,DRR154095
SAMD00144301,srr,DRR154096
SAMD00144302,srr,DRR154097
SAMD00144303,srr,DRR154098
SAMD00144304,srr,DRR154099
SAMD00144306,srr,DRR154101
SAMD00144307,srr,DRR154102
SAMD00144308,srr,DRR154103
SAMD00144309,srr,DRR154104
SAMD00144310,srr,DRR154105
SAMD00144311,srr,DRR154106
SAMD00144312,srr,DRR154107
SAMEA104384834,srr,ERR3332502
SAMN10928601,srr,SRR8586012
SAMN10928603,srr,SRR8586014
SAMN10928604,srr,SRR8586015
SAMN10928605,srr,SRR8586016
SAMN10928606,srr,SRR8586017
SAMN10928607,srr,SRR8586018
SAMN10928608,srr,SRR8586019
SAMN10928609,srr,SRR8586020
SAMN10928610,srr,SRR8586008
SAMN10928612,srr,SRR8586006
SAMN10928613,srr,SRR8586005
SAMN10928614,srr,SRR8586004
SAMN10928615,srr,SRR8586003
SAMN10928616,srr,SRR8586002
SAMN10928618,srr,SRR8586010
SAMN10928619,srr,SRR8586009
SAMN10928620,srr,SRR8585995
SAMN10928621,srr,SRR8585996
SAMN10928622,srr,SRR8585993
SAMN10928623,srr,SRR8585994
SAMN10928624,srr,SRR8585999
SAMN10928625,srr,SRR8586000
SAMN10928626,srr,SRR8585997
SAMN10928627,srr,SRR8585998
SAMN10928628,srr,SRR8585991
SAMN10928629,srr,SRR8585992
SAMN15194875,srr,SRR12009754
SAMN15194876,srr,SRR12009753
SAMN15194877,srr,SRR12009752
SAMN15194878,srr,SRR12009751
SAMN15194879,srr,SRR12009750
SAMN15194880,srr,SRR12009749
SAMN15194881,srr,SRR12009748
SAMN15194882,srr,SRR12009747
SAMN15194883,srr,SRR12009745
SAMN15194884,srr,SRR12009744
