sample_id,input_type,input
SAMN35437244,srr,SRR25051214
SAMN35437246,srr,SRR25051178
SAMN35437248,srr,SRR25051784
SAMN35437249,srr,SRR25051293
SAMN35437253,srr,SRR25051476
SAMN35437257,srr,SRR25051735
SAMN35437261,srr,SRR25051532
SAMN35437265,srr,SRR25051962
SAMN35437268,srr,SRR25051438
SAMN35437280,srr,SRR25051210
SAMN35437281,srr,SRR25051198
SAMN35437283,srr,SRR25051670
SAMN35437291,srr,SRR25051177
SAMN35437292,srr,SRR25051166
SAMN35437294,srr,SRR25051640
SAMN35437295,srr,SRR25051629
SAMN35437302,srr,SRR25051343
SAMN35437303,srr,SRR25051808
SAMN35437306,srr,SRR25051603
SAMN35437308,srr,SRR25051341
SAMN35437320,srr,SRR25051304
SAMN35437322,srr,SRR25051283
SAMN35437323,srr,SRR25051282
SAMN35437324,srr,SRR25051281
SAMN35437350,srr,SRR25051488
SAMN35437360,srr,SRR25051477
SAMN35437367,srr,SRR25051469
SAMN35437368,srr,SRR25051277
SAMN35437369,srr,SRR25051276
SAMN35437374,srr,SRR25051270
SAMN35437376,srr,SRR25051268
SAMN35437380,srr,SRR25051264
SAMN35437382,srr,SRR25051261
SAMN35437383,srr,SRR25051260
SAMN35437388,srr,SRR25051255
SAMN35437389,srr,SRR25051254
SAMN35437394,srr,SRR25051248
SAMN35437401,srr,SRR25051734
SAMN35437405,srr,SRR25051730
SAMN35437410,srr,SRR25051725
SAMN35437421,srr,SRR25051712
SAMN35437426,srr,SRR25051549
SAMN35437442,srr,SRR25051530
SAMN35437449,srr,SRR25051523
SAMN35437451,srr,SRR25051520
SAMN35437452,srr,SRR25051519
SAMN35437453,srr,SRR25051518
SAMN35437454,srr,SRR25051517
SAMN35437486,srr,SRR25051465
SAMN35437487,srr,SRR25051464
SAMN35437490,srr,SRR25051461
SAMN35437562,srr,SRR25051683
SAMN35437566,srr,SRR25051679
SAMN35437568,srr,SRR25051677
SAMN35437570,srr,SRR25051959
SAMN35437575,srr,SRR25051953
SAMN35437576,srr,SRR25051952
SAMN35437579,srr,SRR25051949
SAMN35437586,srr,SRR25051941
SAMN35437587,srr,SRR25051940
SAMN35437595,srr,SRR25051931
SAMN35437596,srr,SRR25051930
SAMN35437605,srr,SRR25051429
SAMN35437610,srr,SRR25051424
SAMN35437612,srr,SRR25051421
SAMN35437615,srr,SRR25051418
SAMN35437619,srr,SRR25051414
SAMN35437623,srr,SRR25051409
SAMN35437628,srr,SRR25051213
SAMN35437633,srr,SRR25051207
SAMN35437639,srr,SRR25051201
SAMN35437642,srr,SRR25051196
SAMN35437649,srr,SRR25051189
SAMN35437650,srr,SRR25051188
SAMN35437653,srr,SRR25051184
SAMN35437659,srr,SRR25051672
SAMN35437661,srr,SRR25051669
SAMN35437664,srr,SRR25051666
SAMN35437671,srr,SRR25051658
SAMN35437676,srr,SRR25051653
SAMN35437677,srr,SRR25051652
SAMN35437680,srr,SRR25051649
SAMN35437682,srr,SRR25051646
SAMN35437683,srr,SRR25051928
SAMN35437689,srr,SRR25051921
SAMN35437690,srr,SRR25051920
SAMN35437693,srr,SRR25051916
SAMN35437697,srr,SRR25051912
SAMN35437707,srr,SRR25051901
SAMN35437708,srr,SRR25051900
SAMN35437711,srr,SRR25051402
SAMN35437712,srr,SRR25051401
SAMN35437714,srr,SRR25051399
SAMN35437716,srr,SRR25051397
SAMN35437718,srr,SRR25051395
SAMN35437724,srr,SRR25051388
SAMN35437727,srr,SRR25051385
SAMN35437754,srr,SRR25051830
SAMN35437772,srr,SRR25051638
SAMN35437777,srr,SRR25051633
SAMN35437785,srr,SRR25051624
SAMN35437787,srr,SRR25051622
SAMN35437810,srr,SRR25051882
SAMN35437811,srr,SRR25051880
SAMN35437814,srr,SRR25051877
SAMN35437817,srr,SRR25051874
SAMN35437828,srr,SRR25051369
SAMN35437829,srr,SRR25051368
SAMN35437851,srr,SRR25051345
SAMN35437853,srr,SRR25051342
SAMN35437854,srr,SRR25051817
SAMN35437859,srr,SRR25051812
SAMN35437863,srr,SRR25051807
SAMN35437868,srr,SRR25051802
SAMN35437879,srr,SRR25051790
SAMN35437883,srr,SRR25051613
SAMN35437894,srr,SRR25051601
SAMN35437897,srr,SRR25051598
SAMN35437899,srr,SRR25051596
SAMN35437903,srr,SRR25051591
SAMN35437904,srr,SRR25051590
SAMN35437906,srr,SRR25051588
SAMN35437908,srr,SRR25051586
SAMN35437919,srr,SRR25051334
SAMN35437920,srr,SRR25051333
SAMN35437922,srr,SRR25051331
SAMN35437924,srr,SRR25051328
SAMN35437933,srr,SRR25051318
SAMN35437935,srr,SRR25051316
SAMN35437948,srr,SRR25051777
SAMN35437950,srr,SRR25051775
SAMN35437952,srr,SRR25051773
SAMN35437955,srr,SRR25051769
SAMN35437956,srr,SRR25051768
SAMN35437965,srr,SRR25051758
SAMN35437971,srr,SRR25051580
SAMN35437985,srr,SRR25051564
SAMN35437999,srr,SRR25051866
SAMN35438000,srr,SRR25051865
SAMN35438003,srr,SRR25051861
SAMN35438019,srr,SRR25051844
SAMN35438024,srr,SRR25051838
SAMN35438025,srr,SRR25051837
SAMN35438026,srr,SRR25051836
SAMN35438033,srr,SRR25051303
SAMN35438036,srr,SRR25051300
SAMN35438037,srr,SRR25051299
SAMN35438040,srr,SRR25051296
SAMN35438041,srr,SRR25051295
SAMN35438050,srr,SRR25051284
