sample_id,input_type,input
SAMEA4032484,srr,ERR1462404
SAMEA4032484,srr,ERR1462406
SAMEA4032484,srr,ERR1462405
SAMEA4032485,srr,ERR1462407
SAMEA4032485,srr,ERR1462411
SAMEA4032485,srr,ERR1462408
SAMEA4032485,srr,ERR1462412
SAMEA4032485,srr,ERR1462410
SAMEA4032485,srr,ERR1462409
SAMEA4032497,srr,ERR1462433
SAMEA4032497,srr,ERR1462435
SAMEA4032497,srr,ERR1462434
SAMEA4032499,srr,ERR1462438
SAMEA4032499,srr,ERR1462440
SAMEA4032499,srr,ERR1462439
SAMEA4032503,srr,ERR1462447
SAMEA4032503,srr,ERR1462449
SAMEA4032503,srr,ERR1462448
SAMEA4032512,srr,ERR1462466
SAMEA4032512,srr,ERR1462468
SAMEA4032512,srr,ERR1462467
SAMEA4032524,srr,ERR1462489
SAMEA4032524,srr,ERR1462491
SAMEA4032524,srr,ERR1462490
SAMEA4032525,srr,ERR1462492
SAMEA4032525,srr,ERR1462494
SAMEA4032525,srr,ERR1462493
SAMEA8654761,srr,ERR6842412
SAMEA8654761,srr,ERR6842410
SAMN36466073,srr,SRR25294386
SAMN36466074,srr,SRR25294385
