sample_id,input_type,input
SAMEA117818188,srr,ERR14743584
SAMEA117818189,srr,ERR14743585
SAMEA117818190,srr,ERR14743586
SAMEA117818191,srr,ERR14743587
SAMEA117818192,srr,ERR14743588
SAMEA117818193,srr,ERR14743589
SAMEA117818194,srr,ERR14743590
SAMEA117818195,srr,ERR14743591
SAMEA117818196,srr,ERR14743592
SAMEA117818197,srr,ERR14743593
SAMEA117818198,srr,ERR14743594
SAMEA117818199,srr,ERR14743595
SAMEA117818200,srr,ERR14743596
SAMEA117818201,srr,ERR14743597
SAMEA118840307,srr,ERR15374996
SAMEA118840308,srr,ERR15375003
SAMEA118840309,srr,ERR15374997
SAMEA118840310,srr,ERR15374998
SAMEA118840311,srr,ERR15374991
SAMEA118840312,srr,ERR15380944
SAMEA118840313,srr,ERR15374993
SAMEA118840314,srr,ERR15375002
SAMEA118840315,srr,ERR15380941
SAMEA118840316,srr,ERR15380939
SAMEA118840317,srr,ERR15380943
SAMEA118840318,srr,ERR15380942
SAMEA118840319,srr,ERR15380938
SAMEA118840320,srr,ERR15380940
SAMEA994740,srr,ERR3316035
SAMEA994740,srr,ERR3316031
SAMEA994740,srr,ERR3133889
