sample_id,input_type,input
SAMN07201754,srr,SRR5665644
SAMN12287136,srr,SRR25748645
SAMN34171308,srr,SRR24296621
SAMN34171309,srr,SRR24296622
SAMN34171310,srr,SRR24185311
SAMN34171311,srr,SRR24185303
SAMN34171312,srr,SRR24185302
SAMN34171313,srr,SRR24185315
SAMN34171314,srr,SRR24185312
SAMN34171315,srr,SRR24185314
SAMN34171316,srr,SRR24185313
SAMN34171317,srr,SRR24185316
SAMN34171318,srr,SRR24205217
SAMN34171319,srr,SRR24205218
SAMN34171320,srr,SRR24205221
SAMN34171321,srr,SRR24205222
SAMN34171322,srr,SRR24205116
SAMN34171323,srr,SRR24229944
SAMN34171324,srr,SRR24230178
SAMN34171325,srr,SRR24229942
SAMN34171326,srr,SRR24229238
SAMN34171327,srr,SRR24230224
