sample_id,input_type,input
SAMN37420688,srr,SRR26078638
SAMN47789257,srr,SRR32988811
SAMN47789258,srr,SRR32988810
SAMN47789259,srr,SRR32988799
SAMN47789260,srr,SRR32988789
SAMN47789261,srr,SRR32988788
SAMN47789262,srr,SRR32988787
SAMN47789263,srr,SRR32988786
SAMN47789264,srr,SRR32988785
SAMN47789265,srr,SRR32988784
SAMN47789266,srr,SRR32988783
SAMN47789267,srr,SRR32988809
SAMN47789268,srr,SRR32988808
SAMN47789269,srr,SRR32988807
SAMN47789270,srr,SRR32988806
SAMN47789271,srr,SRR32988805
SAMN47789272,srr,SRR32988804
SAMN47789273,srr,SRR32988803
SAMN47789274,srr,SRR32988802
SAMN47789275,srr,SRR32988801
SAMN47789276,srr,SRR32988800
SAMN47789277,srr,SRR32988798
SAMN47789278,srr,SRR32988797
SAMN47789279,srr,SRR32988796
SAMN47789280,srr,SRR32988795
