sample_id,input_type,input
SAMEA117791219,srr,ERR14709949
SAMEA12598460,srr,ERR8446365
SAMEA5555687,srr,ERR3281399
SAMEA5555809,srr,ERR3281521
SAMEA6619284,srr,ERR3987283
SAMEA6675403,srr,ERR4133272
SAMN10391534,srr,SRR8224138
SAMN10743912,srr,SRR8442967
SAMN10743927,srr,SRR8442886
SAMN14422751,srr,SRR11425790
SAMN16533909,srr,SRR12959550
SAMN17776788,srr,SRR13627443
SAMN25290621,srr,SRR17775449
SAMN33620009,srr,SRR23757330
SAMN39410416,srr,SRR27547200
SAMN40876990,srr,SRR28624334
SAMN41901033,srr,SRR29469321
