sample_id,input_type,input
SAMN07201758,srr,SRR5665640
SAMN14122067,srr,SRR11097130
SAMN32366527,srr,SRR22863755
SAMN32366528,srr,SRR22863754
SAMN32366529,srr,SRR22863743
SAMN32366530,srr,SRR22863740
SAMN32366530,srr,SRR29386321
SAMN32366531,srr,SRR22863739
SAMN32366532,srr,SRR22863738
SAMN32366532,srr,SRR29386319
SAMN32366533,srr,SRR22863737
SAMN32366534,srr,SRR22863736
SAMN32366535,srr,SRR22863735
SAMN32366536,srr,SRR22863734
SAMN32366536,srr,SRR29386315
SAMN32366537,srr,SRR22863753
SAMN32366538,srr,SRR22863752
SAMN37420687,srr,SRR26078640
