sample_id,input_type,input
SAMN26138163,srr,SRR18101434
SAMN26138164,srr,SRR18101433
SAMN26138165,srr,SRR18101422
SAMN26138166,srr,SRR18101411
SAMN26138168,srr,SRR18101390
SAMN26138169,srr,SRR18101389
SAMN26138170,srr,SRR18101388
SAMN26138171,srr,SRR18101387
SAMN26138172,srr,SRR18101386
SAMN26138173,srr,SRR18101432
SAMN26138174,srr,SRR18101431
SAMN26138175,srr,SRR18101430
SAMN26138176,srr,SRR18101429
SAMN26138178,srr,SRR18101427
SAMN26138182,srr,SRR18101423
SAMN26138184,srr,SRR18101420
SAMN26138188,srr,SRR18101416
SAMN26138189,srr,SRR18101415
SAMN26138192,srr,SRR18101412
SAMN26138193,srr,SRR18101410
SAMN26138194,srr,SRR18101409
SAMN26138195,srr,SRR18101408
SAMN26138197,srr,SRR18101406
SAMN26138198,srr,SRR18101405
SAMN26138199,srr,SRR18101404
SAMN26138201,srr,SRR18101402
SAMN26138202,srr,SRR18101401
SAMN26138203,srr,SRR18101399
SAMN26138205,srr,SRR18101397
SAMN26138206,srr,SRR18101396
SAMN26138207,srr,SRR18101395
SAMN26138208,srr,SRR18101394
SAMN26138209,srr,SRR18101393
SAMN26138210,srr,SRR18101392
SAMN26263697,srr,SRR21676923
