sample_id,input_type,input
SAMEA112483149,srr,ERR11476908
SAMEA5533100,srr,ERR4163411
SAMEA5533100,srr,ERR4163406
SAMEA5533100,srr,ERR4163401
SAMEA5533102,srr,ERR4189648
SAMEA5533102,srr,ERR4189644
SAMEA5533102,srr,ERR4189658
SAMEA5533102,srr,ERR4189640
SAMEA5533103,srr,ERR4189649
SAMEA5533103,srr,ERR4189645
SAMEA5533103,srr,ERR4189641
SAMEA5533105,srr,ERR5192588
SAMEA5533105,srr,ERR4189650
SAMEA5533105,srr,ERR4189646
SAMEA5533110,srr,ERR4189651
SAMEA5533110,srr,ERR4189642
SAMEA5533110,srr,ERR5192589
SAMEA5533120,srr,ERR4163402
SAMEA5533120,srr,ERR4163407
SAMEA5533120,srr,ERR4163412
SAMEA5533121,srr,ERR4163408
SAMEA5533121,srr,ERR4163403
SAMEA5533121,srr,ERR4163413
SAMEA5533122,srr,ERR4163409
SAMEA5533122,srr,ERR4163414
SAMEA5533122,srr,ERR4163404
SAMEA5533122,srr,ERR4163399
SAMEA5533123,srr,ERR4163415
SAMEA5533123,srr,ERR4163410
SAMEA5533123,srr,ERR4163405
SAMEA5533126,srr,ERR4189652
SAMEA5533126,srr,ERR4189647
SAMEA5533126,srr,ERR4189662
SAMN12621102,srr,SRR25750970
SAMN12621102,srr,SRR25750999
