sample_id,input_type,input
SAMN04312208,srr,SRR2971425
SAMN04312209,srr,SRR2971441
SAMN09917439,srr,SRR7874817
SAMN09917479,srr,SRR7874816
SAMN09917480,srr,SRR7874815
SAMN09924608,srr,SRR7759802
SAMN19522958,srr,SRR14750369
SAMN19522959,srr,SRR14750370
SAMN50885739,srr,SRR35196251
SAMN50885740,srr,SRR35196250
SAMN50885741,srr,SRR35196239
SAMN50885742,srr,SRR35196238
SAMN50885743,srr,SRR35196237
SAMN50885744,srr,SRR35196236
SAMN50885745,srr,SRR35196235
SAMN50885746,srr,SRR35196234
SAMN50885747,srr,SRR35196233
SAMN50885748,srr,SRR35196232
SAMN50885749,srr,SRR35196249
SAMN50885750,srr,SRR35196248
SAMN50885751,srr,SRR35196247
SAMN50885752,srr,SRR35196246
SAMN50885753,srr,SRR35196245
SAMN50885754,srr,SRR35196244
SAMN50885755,srr,SRR35196243
SAMN50885756,srr,SRR35196242
SAMN50885757,srr,SRR35196241
SAMN50885758,srr,SRR35196240
