sample_id,input_type,input
SAMN07678023,srr,SRR14571305
SAMN10519625,srr,SRR8284576
SAMN10519625,srr,SRR8284575
SAMN10872456,srr,SRR8568868
SAMN10872456,srr,SRR8568863
SAMN29855413,srr,SRR22135476
SAMN33394077,srr,SRR23640099
SAMN37748524,srr,SRR26534390
SAMN37748525,srr,SRR26534389
SAMN37748526,srr,SRR26534378
SAMN37748527,srr,SRR26534367
SAMN37748528,srr,SRR26534356
SAMN37748529,srr,SRR26534345
SAMN37748530,srr,SRR26534334
SAMN37748531,srr,SRR26534331
SAMN37748532,srr,SRR26534330
SAMN37748533,srr,SRR26534329
SAMN37748534,srr,SRR26534388
SAMN37748535,srr,SRR26534387
SAMN37748536,srr,SRR26534386
SAMN37748537,srr,SRR26534385
SAMN37748538,srr,SRR26534384
SAMN37748539,srr,SRR26534383
SAMN37748540,srr,SRR26534382
SAMN37748541,srr,SRR26534381
SAMN37748542,srr,SRR26534380
SAMN37748543,srr,SRR26534379
SAMN37748544,srr,SRR26534377
SAMN37748545,srr,SRR26534376
SAMN37748546,srr,SRR26534375
SAMN37748547,srr,SRR26534374
SAMN37748548,srr,SRR26534373
SAMN37748549,srr,SRR26534372
SAMN37748550,srr,SRR26534371
SAMN37748551,srr,SRR26534370
SAMN37748552,srr,SRR26534369
SAMN37748553,srr,SRR26534368
SAMN37748554,srr,SRR26534366
SAMN37748555,srr,SRR26534365
SAMN37748556,srr,SRR26534364
SAMN37748557,srr,SRR26534363
SAMN37748558,srr,SRR26534362
SAMN37748559,srr,SRR26534361
SAMN37748560,srr,SRR26534360
SAMN37748561,srr,SRR26534359
SAMN37748562,srr,SRR26534358
SAMN37748563,srr,SRR26534357
SAMN37748564,srr,SRR26534355
SAMN37748565,srr,SRR26534354
SAMN37748566,srr,SRR26534353
SAMN37748567,srr,SRR26534352
SAMN37748568,srr,SRR26534351
SAMN37748570,srr,SRR26534349
SAMN37748571,srr,SRR26534348
SAMN37748572,srr,SRR26534347
SAMN37748574,srr,SRR26534344
SAMN37748575,srr,SRR26534343
SAMN37748576,srr,SRR26534342
SAMN37748577,srr,SRR26534341
SAMN37748578,srr,SRR26534340
SAMN37748579,srr,SRR26534339
SAMN37748580,srr,SRR26534338
SAMN37748581,srr,SRR26534337
SAMN37748582,srr,SRR26534336
SAMN37748583,srr,SRR26534335
SAMN37748584,srr,SRR26534333
SAMN37748585,srr,SRR26534332
