sample_id,input_type,input
SAMN08714475,srr,SRR16944663
SAMN08714475,srr,SRR16944651
SAMN08714475,srr,SRR16944660
SAMN08714475,srr,SRR16944662
SAMN08714475,srr,SRR16944661
SAMN11611988,srr,SRR9037359
SAMN15339013,srr,SRR12160936
SAMN15339013,srr,SRR12160937
SAMN15339013,srr,SRR12160930
SAMN38047250,srr,SRR26787616
SAMN38047251,srr,SRR26787615
SAMN38047252,srr,SRR26787604
SAMN38047253,srr,SRR26787593
SAMN38047254,srr,SRR26787580
SAMN38047255,srr,SRR26787569
SAMN38047256,srr,SRR26787558
SAMN38047257,srr,SRR26787555
SAMN38047258,srr,SRR26787588
SAMN38047259,srr,SRR26787587
SAMN38047260,srr,SRR26787614
SAMN38047261,srr,SRR26787613
SAMN38047262,srr,SRR26787612
SAMN38047263,srr,SRR26787611
SAMN38047264,srr,SRR26787610
SAMN38047265,srr,SRR26787609
SAMN38047266,srr,SRR26787608
SAMN38047267,srr,SRR26787607
SAMN38047268,srr,SRR26787606
SAMN38047269,srr,SRR26787605
SAMN38047270,srr,SRR26787603
SAMN38047271,srr,SRR26787602
SAMN38047272,srr,SRR26787601
SAMN38047273,srr,SRR26787600
SAMN38047274,srr,SRR26787599
SAMN38047275,srr,SRR26787598
SAMN38047276,srr,SRR26787597
SAMN38047277,srr,SRR26787596
SAMN38047278,srr,SRR26787595
SAMN38047279,srr,SRR26787594
SAMN38047280,srr,SRR26787592
SAMN38047281,srr,SRR26787591
SAMN38047282,srr,SRR26787590
SAMN38047283,srr,SRR26787589
SAMN38047284,srr,SRR26787586
SAMN38047285,srr,SRR26787585
SAMN38047286,srr,SRR26787584
SAMN38047287,srr,SRR26787583
SAMN38047288,srr,SRR26787582
SAMN38047289,srr,SRR26787581
SAMN38047290,srr,SRR26787579
SAMN38047291,srr,SRR26787578
SAMN38047292,srr,SRR26787577
SAMN38047293,srr,SRR26787576
SAMN38047294,srr,SRR26787575
SAMN38047295,srr,SRR26787574
SAMN38047296,srr,SRR26787573
SAMN38047297,srr,SRR26787572
SAMN38047298,srr,SRR26787571
SAMN38047299,srr,SRR26787570
SAMN38047300,srr,SRR26787568
SAMN38047301,srr,SRR26787567
SAMN38047302,srr,SRR26787566
SAMN38047303,srr,SRR26787565
SAMN38047304,srr,SRR26787564
SAMN38047305,srr,SRR26787563
SAMN38047306,srr,SRR26787562
SAMN38047307,srr,SRR26787561
SAMN38047308,srr,SRR26787560
SAMN38047309,srr,SRR26787559
SAMN38047310,srr,SRR26787557
SAMN38047311,srr,SRR26787556
