sample_id,input_type,input
SAMN12307471,srr,SRR13774416
SAMN14352199,srr,SRR11321048
SAMN32324407,srr,SRR22827232
SAMN32324408,srr,SRR22827231
SAMN32324409,srr,SRR22827220
SAMN32324410,srr,SRR22827215
SAMN32324411,srr,SRR22827214
SAMN32324412,srr,SRR22827213
SAMN32324413,srr,SRR22827212
SAMN32324414,srr,SRR22827211
SAMN32324415,srr,SRR22827210
SAMN32324416,srr,SRR22827209
SAMN32324417,srr,SRR22827230
SAMN32324418,srr,SRR22827229
SAMN32324419,srr,SRR22827228
SAMN32324420,srr,SRR22827227
SAMN32324421,srr,SRR22827226
SAMN32324422,srr,SRR22827225
SAMN32324423,srr,SRR22827224
SAMN32324424,srr,SRR22827223
SAMN32324425,srr,SRR22827222
SAMN32324426,srr,SRR22827221
SAMN32324429,srr,SRR22827217
SAMN38116526,srr,SRR32782293
SAMN38116528,srr,SRR32042448
SAMN38116529,srr,SRR32709359
SAMN38116531,srr,SRR33162470
SAMN40727539,srr,SRR28532990
SAMN40727540,srr,SRR28532989
SAMN40727541,srr,SRR28532997
SAMN46900642,srr,SRR32399100
